year    pressure level [hPa]
1979    350                 
1980    350                 
1981    400                 
1982    650                 
1983    350                 
1984    650                 
1985    650                 
1986    700                 
1987    700                 
1988    650                 
1989    350                 
1990    650                 
1991    600                 
1992    350                 
1993    650                 
1994    350                 
1995    350                 
1996    350                 
1997    650                 
1998    700                 
1999    700                 
2000    700                 
2001    700                 
2002    700                 
2003    700                 
2004    700                 
2005    700                 
2006    700                 
2007    700                 
2008    650                 
2009    700                 
2010    700                 
2011    700                 
2012    700                 
2013    700                 
2014    350                 
2015    700                 
2016    550                 
2017    350                 
2018    350                 
