year    pressure level [hPa]
1979    550                 
1980    500                 
1981    500                 
1982    600                 
1983    550                 
1984    550                 
1985    550                 
1986    400                 
1987    550                 
1988    550                 
1989    550                 
1990    550                 
1991    550                 
1992    550                 
1993    650                 
1994    550                 
1995    500                 
1996    550                 
1997    500                 
1998    500                 
1999    550                 
2000    600                 
2001    650                 
2002    600                 
2003    650                 
2004    700                 
2005    700                 
2006    650                 
2007    650                 
2008    650                 
2009    600                 
2010    650                 
2011    600                 
2012    550                 
2013    650                 
2014    600                 
2015    650                 
2016    650                 
2017    650                 
2018    650                 
