year    pressure level [hPa]
1979    750                 
1980    750                 
1981    750                 
1982    750                 
1983    750                 
1984    750                 
1985    700                 
1986    750                 
1987    700                 
1988    700                 
1989    750                 
1990    750                 
1991    700                 
1992    700                 
1993    700                 
1994    700                 
1995    700                 
1996    750                 
1997    750                 
1998    750                 
1999    750                 
2000    750                 
2001    750                 
2002    700                 
2003    700                 
2004    750                 
2005    750                 
2006    750                 
2007    750                 
2008    700                 
2009    750                 
2010    700                 
2011    750                 
2012    700                 
2013    700                 
2014    700                 
2015    700                 
2016    700                 
2017    700                 
2018    700                 
