year    pressure level [hPa]
1979    700                 
1980    700                 
1981    700                 
1982    700                 
1983    700                 
1984    700                 
1985    700                 
1986    700                 
1987    700                 
1988    700                 
1989    700                 
1990    700                 
1991    700                 
1992    700                 
1993    700                 
1994    700                 
1995    700                 
1996    750                 
1997    750                 
1998    775                 
1999    700                 
2000    700                 
2001    700                 
2002    700                 
2003    750                 
2004    750                 
2005    750                 
2006    750                 
2007    750                 
2008    700                 
2009    750                 
2010    700                 
2011    750                 
2012    700                 
2013    750                 
2014    750                 
2015    750                 
2016    750                 
2017    750                 
2018    750                 
