year    psi^max     psi^max(800 hPa)        psi^max(775 hPa)        psi^max(750 hPa)        psi^max(700 hPa)        psi^max(650 hPa)        psi^max(600 hPa)        psi^max(550 hPa)        psi^max(500 hPa)        psi^max(450 hPa)        psi^max(400 hPa)        <psi^max>_p             psi(phi^max, p^max)     psi_NHC         Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        omega^min(400 hPa)      omega^min(500 hPa)      omega^min(600 hPa)      omega^min       v_E^NHC(1000-850 hPa)   I_M (all m)             I_M^MRG (all m)         I_M (m >= 7)            I_M (m >= 9)    
1979    0.94069     0.88824                 0.88804                 0.88888                 0.89233                 0.90193                 0.91600                 0.93083                 0.94048                 0.94836                 0.95950                 0.93361                 0.89772                 0.95252         1.05096                 1.01420                 0.84834                 1.04122                 1.03087                 1.02735                 0.94338         0.97853                 1.01758                 1.01364                 0.97471                 0.97881         
1980    1.00776     0.87869                 0.88161                 0.88687                 0.90318                 0.92218                 0.94165                 0.96366                 0.98470                 1.00284                 1.02416                 0.97022                 0.91007                 0.94307         1.25003                 1.01327                 0.83964                 1.09311                 1.09940                 1.01533                 0.89948         0.89891                 0.96732                 0.97128                 0.97970                 0.95539         
1981    0.90300     0.83651                 0.83293                 0.83412                 0.84476                 0.86561                 0.89212                 0.91394                 0.93083                 0.94308                 0.93859                 0.89833                 0.83010                 0.90061         1.11509                 1.06081                 0.90956                 1.01859                 1.00272                 0.98596                 0.92000         0.87360                 0.95235                 0.95307                 0.97162                 0.94984         
1982    0.94206     0.96046                 0.95537                 0.95318                 0.95496                 0.96065                 0.96450                 0.96289                 0.95636                 0.95207                 0.95095                 0.96818                 0.96224                 0.92428         1.08677                 1.12776                 0.83581                 0.88549                 0.97178                 0.95506                 0.89916         0.98745                 1.01855                 1.01760                 0.98788                 0.98236         
1983    0.94993     0.97041                 0.96218                 0.95547                 0.94482                 0.93653                 0.93311                 0.93511                 0.93713                 0.94574                 0.96383                 0.96716                 0.90102                 0.86939         0.87924                 0.95066                 0.72329                 0.68641                 0.69570                 0.70688                 0.68707         0.98312                 1.05658                 1.05659                 1.04040                 1.01597         
1984    0.91992     0.93097                 0.93091                 0.93198                 0.93519                 0.93807                 0.93886                 0.93706                 0.93409                 0.93717                 0.93519                 0.94135                 0.92603                 0.89042         1.02040                 0.82990                 0.70696                 0.78082                 0.81171                 0.78062                 0.80463         0.98931                 0.95642                 0.96102                 0.94591                 0.92926         
1985    0.90242     0.91440                 0.91117                 0.91140                 0.91569                 0.92023                 0.92157                 0.92262                 0.92260                 0.92121                 0.91081                 0.91946                 0.92237                 0.88791         1.03732                 0.95992                 0.72268                 0.81604                 0.80806                 0.84205                 0.81709         0.93294                 1.01475                 1.01481                 0.96126                 0.96377         
1986    0.94936     0.97916                 0.97569                 0.97281                 0.96744                 0.96103                 0.95303                 0.94608                 0.94591                 0.95732                 0.97003                 0.96790                 0.96336                 0.92198         1.12554                 0.93766                 0.79094                 0.88157                 0.93858                 0.93492                 0.88763         0.98893                 0.93629                 0.93675                 0.93399                 0.93799         
1987    1.02772     1.06335                 1.05871                 1.05427                 1.04729                 1.04424                 1.04457                 1.04477                 1.04561                 1.05088                 1.05912                 1.06352                 1.02525                 1.01630         1.00188                 1.06794                 0.85434                 0.91164                 1.02362                 1.02653                 0.94933         1.05506                 1.01173                 1.00875                 1.01364                 1.00191         
1988    0.96704     0.97442                 0.97467                 0.97555                 0.98080                 0.98612                 0.98728                 0.98909                 0.99337                 0.99569                 0.99141                 0.99224                 0.98737                 0.93389         1.07216                 0.91645                 0.75209                 0.77462                 0.79896                 0.77518                 0.97530         0.96340                 0.98819                 0.98893                 1.00767                 1.01405         
1989    0.99303     0.91722                 0.92146                 0.92679                 0.93968                 0.95621                 0.97514                 0.99335                 1.01041                 1.02399                 1.02412                 0.99043                 0.93971                 0.98248         0.92315                 0.87425                 0.83813                 0.92528                 0.93750                 0.88768                 0.85446         0.99479                 1.09258                 1.08497                 1.07416                 1.04905         
1990    0.98707     0.99768                 0.99622                 0.99694                 1.00016                 1.00654                 1.01433                 1.01880                 1.01897                 1.01225                 0.99865                 1.00590                 0.99404                 1.01568         1.09415                 1.00969                 0.95410                 0.97630                 1.00297                 1.01416                 0.92113         0.99963                 1.00363                 1.00284                 1.00868                 1.02358         
1991    0.99645     0.97119                 0.97501                 0.98098                 0.99679                 1.01414                 1.02703                 1.03373                 1.03680                 1.02791                 1.01087                 1.00819                 0.99916                 1.00265         1.04501                 1.04092                 0.86966                 1.05978                 1.10668                 1.07677                 0.98864         1.00422                 0.92817                 0.93261                 0.93961                 0.92279         
1992    0.91513     0.88801                 0.88657                 0.88699                 0.89084                 0.89714                 0.90723                 0.91581                 0.92218                 0.92885                 0.94054                 0.92352                 0.89763                 0.93887         0.99151                 0.91167                 0.74814                 0.74623                 0.74978                 0.74174                 0.72228         1.01268                 0.92039                 0.92135                 0.92339                 0.91936         
1993    0.99085     0.99596                 0.99539                 0.99621                 1.00231                 1.01040                 1.01598                 1.01810                 1.01698                 1.01815                 1.02438                 1.01353                 0.99943                 0.97736         1.00482                 0.99478                 0.89032                 1.03557                 1.08195                 1.05130                 0.88716         1.02118                 1.06659                 1.05839                 1.00204                 1.00249         
1994    0.93277     0.88125                 0.87999                 0.88115                 0.88876                 0.90169                 0.91942                 0.93515                 0.94437                 0.94853                 0.95281                 0.93352                 0.89521                 0.95302         1.01775                 1.05492                 0.91601                 0.99368                 1.01030                 0.99739                 0.89181         0.96431                 0.98263                 0.98098                 1.01502                 1.00629         
1995    0.96647     0.92091                 0.91772                 0.91588                 0.91679                 0.92363                 0.93790                 0.95353                 0.96236                 0.96636                 0.97707                 0.95604                 0.91958                 0.97697         0.96926                 0.92686                 0.91905                 0.99996                 0.97663                 0.96883                 0.94328         0.93221                 0.94873                 0.94606                 0.97312                 0.96210         
1996    0.96806     0.98023                 0.97598                 0.97489                 0.97814                 0.98305                 0.98394                 0.98516                 0.98544                 0.98511                 0.98882                 0.99148                 0.98559                 0.98327         1.02376                 0.95590                 1.00105                 1.04416                 0.96722                 0.98578                 0.97465         0.98165                 0.92350                 0.92194                 0.93165                 0.91271         
1997    1.11057     1.10252                 1.10813                 1.11546                 1.12698                 1.13248                 1.12985                 1.11965                 1.11201                 1.11396                 1.12800                 1.11705                 1.11686                 1.06654         1.19464                 1.25394                 1.23405                 1.16283                 1.19574                 1.20048                 1.12136         1.07820                 1.00000                 0.99855                 0.97478                 0.96864         
1998    1.07465     1.09981                 1.10026                 1.09986                 1.09512                 1.08241                 1.06057                 1.04178                 1.03457                 1.03915                 1.05791                 1.06542                 1.05088                 0.97916         0.80844                 0.87693                 0.98654                 0.74549                 0.81991                 0.73184                 0.83327         1.07250                 1.12372                 1.11440                 1.11616                 1.10768         
1999    1.01350     1.01548                 1.01919                 1.02412                 1.03280                 1.02789                 1.01460                 0.99674                 0.97887                 0.96094                 0.94575                 0.98564                 1.03519                 1.00104         0.98815                 0.88090                 1.09620                 1.02052                 0.98639                 1.05780                 1.12701         1.00050                 1.08205                 1.07616                 1.03776                 1.03896         
2000    1.12200     1.13399                 1.13879                 1.14199                 1.14336                 1.13698                 1.12200                 1.10586                 1.09686                 1.09260                 1.08697                 1.10886                 1.15019                 1.07165         0.96472                 0.88560                 1.06735                 1.07090                 0.99969                 1.09169                 1.11118         1.11162                 0.97482                 0.97437                 0.98906                 1.00832         
2001    1.08538     1.08013                 1.09109                 1.09992                 1.10605                 1.09102                 1.06269                 1.03471                 1.01325                 0.99660                 0.98677                 1.03021                 1.11141                 1.05523         0.98232                 0.89646                 1.04659                 1.09399                 1.03520                 1.09610                 1.09884         1.05151                 1.00532                 1.00483                 0.98765                 0.99370         
