year    psi^max     psi^max(800 hPa)        psi^max(775 hPa)        psi^max(750 hPa)        psi^max(700 hPa)        psi^max(650 hPa)        psi^max(600 hPa)        psi^max(550 hPa)        psi^max(500 hPa)        psi^max(450 hPa)        psi^max(400 hPa)        <psi^max>_p             psi(phi^max, p^max)     psi_NHC         Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        omega^min(400 hPa)      omega^min(500 hPa)      omega^min(600 hPa)      omega^min       v_E^NHC(1000-850 hPa)   I_M (all m)             I_M^MRG (all m)         I_M (m >= 7)            I_M (m >= 9)    
1979    1.00587     1.02782                 1.01523                 0.99886                 0.99038                 0.99454                 1.00553                 1.01631                 1.02452                 1.03004                 1.02942                 1.02384                 0.99827                 1.00233         1.14079                 0.97292                 0.92117                 1.07438                 1.01545                 0.95800                 0.96176         0.93652                 1.00105                 0.99747                 0.98943                 0.98836         
1980    1.00698     0.93942                 0.94937                 0.95884                 0.97245                 0.98251                 0.99832                 1.01592                 1.03028                 1.04363                 1.05295                 1.00725                 0.99749                 1.03921         1.23017                 0.79590                 0.74752                 1.15496                 1.06731                 0.97771                 0.98202         0.90695                 0.92053                 0.92584                 0.96931                 0.95717         
1981    0.99046     0.94769                 0.94073                 0.93349                 0.94638                 0.96365                 0.98259                 1.00035                 1.01338                 1.01999                 1.02022                 0.98154                 0.97854                 1.02867         1.23575                 0.86822                 0.80958                 1.11421                 1.01828                 0.92878                 1.01586         0.89488                 0.89744                 0.89928                 0.95228                 0.94126         
1982    1.09903     1.05346                 1.06419                 1.07411                 1.08951                 1.10067                 1.10819                 1.11019                 1.10470                 1.09303                 1.07907                 1.08816                 1.11101                 1.06902         1.38882                 0.93573                 0.76675                 1.13887                 1.07601                 1.03264                 1.06055         1.05441                 0.98438                 0.98293                 0.98987                 0.97726         
1983    1.06854     1.03536                 1.04411                 1.05102                 1.05932                 1.06453                 1.07095                 1.07962                 1.08952                 1.10214                 1.11506                 1.08388                 1.06043                 1.00667         1.17004                 0.85882                 0.76961                 0.81967                 0.86616                 0.79827                 0.68946         1.04325                 1.01501                 1.01188                 1.00653                 0.99862         
1984    0.99947     0.98678                 0.97486                 0.96726                 0.98251                 0.99311                 1.00223                 1.00983                 1.01641                 1.02927                 1.04111                 1.01954                 1.00478                 0.98334         1.22571                 0.77951                 0.65035                 1.01991                 0.93403                 0.82512                 0.86340         1.02214                 0.91423                 0.91781                 0.92859                 0.92439         
1985    0.94852     0.98928                 0.97745                 0.96257                 0.94388                 0.94849                 0.95412                 0.95836                 0.95970                 0.95912                 0.95270                 0.96507                 0.94737                 0.96233         1.11683                 0.90767                 0.68401                 0.98574                 0.92886                 0.84587                 0.90243         0.96589                 1.00269                 1.00230                 0.96244                 0.95655         
1986    0.99732     0.99166                 0.97738                 0.97529                 0.97772                 0.97804                 0.98207                 0.99352                 1.01362                 1.03957                 1.06231                 1.01828                 0.98457                 1.01062         1.23649                 0.88098                 0.84954                 1.12049                 1.06607                 0.96160                 0.96437         1.01121                 0.92808                 0.92979                 0.94088                 0.93200         
1987    0.99826     1.00012                 1.00528                 1.00852                 1.00766                 1.00397                 1.00380                 1.00861                 1.01783                 1.02753                 1.02980                 1.01235                 0.99902                 1.02713         1.15850                 0.94549                 0.87555                 1.18281                 1.16903                 1.06219                 1.02319         1.05723                 0.98167                 0.98031                 0.97950                 0.97274         
1988    0.96945     0.94133                 0.94403                 0.95478                 0.96694                 0.97150                 0.97401                 0.97951                 0.98546                 0.98965                 0.98150                 0.96969                 0.97648                 0.99164         1.20034                 0.85504                 0.77780                 0.93007                 0.88766                 0.80029                 0.93968         1.00144                 0.97513                 0.97868                 1.02303                 1.02026         
