year    psi^min     psi^min(800 hPa)        psi^min(775 hPa)        psi^min(750 hPa)        psi^min(700 hPa)        psi^min(650 hPa)        psi^min(600 hPa)        psi^min(550 hPa)        psi^min(500 hPa)        psi^min(450 hPa)        psi^min(400 hPa)        <psi^min>_p             psi(phi^min, p^min)     psi_SHC         Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        omega^min(400 hPa)      omega^min(500 hPa)      omega^min(600 hPa)      omega^min       v_E^SHC(1000-850 hPa)   I_M (all m)             I_M^MRG (all m)         I_M (m >= 7)            I_M (m >= 9)    
1979    1.03133     1.04121                 1.03793                 1.03460                 1.02438                 1.00730                 0.98587                 0.96483                 0.94543                 0.92824                 0.91689                 0.98502                 0.99966                 0.98464         1.05096                 1.01420                 0.84834                 1.04122                 1.03087                 1.02735                 0.94338         1.01529                 1.01758                 1.01364                 0.97471                 0.97881         
1980    1.01533     1.03413                 1.02753                 1.01856                 0.99816                 0.98154                 0.96814                 0.96094                 0.95541                 0.94581                 0.92551                 0.97949                 1.00529                 1.01852         1.25003                 1.01327                 0.83964                 1.09311                 1.09940                 1.01533                 0.89948         1.00955                 0.96732                 0.97128                 0.97970                 0.95539         
1981    0.99286     1.01748                 1.00684                 0.99602                 0.98097                 0.97575                 0.97436                 0.96713                 0.95212                 0.93985                 0.93117                 0.97793                 0.98552                 0.97827         1.11509                 1.06081                 0.90956                 1.01859                 1.00272                 0.98596                 0.92000         1.00295                 0.95235                 0.95307                 0.97162                 0.94984         
1982    1.01993     1.03133                 1.02824                 1.02317                 1.00674                 0.98856                 0.97263                 0.96149                 0.94917                 0.93748                 0.92222                 0.98396                 1.01311                 1.01236         1.08677                 1.12776                 0.83581                 0.88549                 0.97178                 0.95506                 0.89916         1.01164                 1.01855                 1.01760                 0.98788                 0.98236         
1983    1.01878     1.04488                 1.03267                 1.02202                 1.00980                 1.00598                 1.00424                 1.00222                 0.99702                 0.98968                 0.97308                 1.01063                 0.99973                 0.94602         0.87924                 0.95066                 0.72329                 0.68641                 0.69570                 0.70688                 0.68707         0.86117                 1.05658                 1.05659                 1.04040                 1.01597         
1984    0.91009     0.92261                 0.91572                 0.91299                 0.91144                 0.91227                 0.91294                 0.91399                 0.91196                 0.90673                 0.89440                 0.91002                 0.89974                 0.87561         1.02040                 0.82990                 0.70696                 0.78082                 0.81171                 0.78062                 0.80463         0.88808                 0.95642                 0.96102                 0.94591                 0.92926         
1985    0.92761     0.93116                 0.92912                 0.93010                 0.93211                 0.92984                 0.92751                 0.92112                 0.91281                 0.90402                 0.89335                 0.92008                 0.92967                 0.92099         1.03732                 0.95992                 0.72268                 0.81604                 0.80806                 0.84205                 0.81709         0.92654                 1.01475                 1.01481                 0.96126                 0.96377         
1986    0.98220     0.98722                 0.98693                 0.98532                 0.97994                 0.97489                 0.97154                 0.96481                 0.95692                 0.94991                 0.94194                 0.97117                 0.98694                 0.96788         1.12554                 0.93766                 0.79094                 0.88157                 0.93858                 0.93492                 0.88763         0.94934                 0.93629                 0.93675                 0.93399                 0.93799         
1987    1.05760     1.04862                 1.05290                 1.05720                 1.06274                 1.06096                 1.05787                 1.04818                 1.03699                 1.02826                 1.01675                 1.04210                 1.06440                 1.00728         1.00188                 1.06794                 0.85434                 0.91164                 1.02362                 1.02653                 0.94933         0.95139                 1.01173                 1.00875                 1.01364                 1.00191         
1988    0.96445     0.97180                 0.96606                 0.96284                 0.96914                 0.97877                 0.98627                 0.99028                 0.99255                 0.99468                 0.98957                 0.98267                 0.96037                 0.97485         1.07216                 0.91645                 0.75209                 0.77462                 0.79896                 0.77518                 0.97530         0.97609                 0.98819                 0.98893                 1.00767                 1.01405         
