year    psi^min     psi^min(800 hPa)        psi^min(775 hPa)        psi^min(750 hPa)        psi^min(700 hPa)        psi^min(650 hPa)        psi^min(600 hPa)        psi^min(550 hPa)        psi^min(500 hPa)        psi^min(450 hPa)        psi^min(400 hPa)        <psi^min>_p             psi(phi^min, p^min)     psi_SHC         Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        omega^min(400 hPa)      omega^min(500 hPa)      omega^min(600 hPa)      omega^min       v_E^SHC(1000-850 hPa)   I_M (all m)             I_M^MRG (all m)         I_M (m >= 7)            I_M (m >= 9)    
1979    1.01105     0.98402                 0.99419                 1.00307                 1.01534                 1.01943                 1.01857                 1.01999                 1.02842                 1.04490                 1.06143                 1.02722                 1.00772                 1.04486         1.14079                 0.97292                 0.92117                 1.07438                 1.01545                 0.95800                 0.96176         1.00514                 1.00105                 0.99747                 0.98943                 0.98836         
1980    1.06335     1.04881                 1.05469                 1.05975                 1.06786                 1.07186                 1.07088                 1.06730                 1.06414                 1.05769                 1.03969                 1.04694                 1.07285                 1.07454         1.23017                 0.79590                 0.74752                 1.15496                 1.06731                 0.97771                 0.98202         1.02948                 0.92053                 0.92584                 0.96931                 0.95717         
1981    1.05901     1.04387                 1.04907                 1.05396                 1.06351                 1.07192                 1.07699                 1.07869                 1.07886                 1.08035                 1.07736                 1.06655                 1.06848                 1.03941         1.23575                 0.86822                 0.80958                 1.11421                 1.01828                 0.92878                 1.01586         1.01744                 0.89744                 0.89928                 0.95228                 0.94126         
1982    1.05755     1.04171                 1.04832                 1.05396                 1.06204                 1.06797                 1.07223                 1.07770                 1.08963                 1.10369                 1.11137                 1.08392                 1.06561                 1.07968         1.38882                 0.93573                 0.76675                 1.13887                 1.07601                 1.03264                 1.06055         1.01981                 0.98438                 0.98293                 0.98987                 0.97726         
1983    1.02164     1.01410                 1.01332                 1.01546                 1.02598                 1.04012                 1.05370                 1.06703                 1.08076                 1.09196                 1.09475                 1.05925                 1.01678                 1.00434         1.17004                 0.85882                 0.76961                 0.81967                 0.86616                 0.79827                 0.68946         0.84272                 1.01501                 1.01188                 1.00653                 0.99862         
1984    0.90686     0.90303                 0.90343                 0.90543                 0.91071                 0.91579                 0.92072                 0.92961                 0.94418                 0.95905                 0.96701                 0.93632                 0.89183                 0.88724         1.22571                 0.77951                 0.65035                 1.01991                 0.93403                 0.82512                 0.86340         0.86648                 0.91423                 0.91781                 0.92859                 0.92439         
1985    0.92013     0.91410                 0.91744                 0.92026                 0.92403                 0.92481                 0.92465                 0.92799                 0.93882                 0.95197                 0.95760                 0.93419                 0.92550                 0.90998         1.11683                 0.90767                 0.68401                 0.98574                 0.92886                 0.84587                 0.90243         0.92619                 1.00269                 1.00230                 0.96244                 0.95655         
1986    0.97402     0.97120                 0.97492                 0.97738                 0.97815                 0.97713                 0.97629                 0.98090                 0.99410                 1.01312                 1.02593                 0.99575                 0.98272                 0.99348         1.23649                 0.88098                 0.84954                 1.12049                 1.06607                 0.96160                 0.96437         0.96455                 0.92808                 0.92979                 0.94088                 0.93200         
1987    1.09882     1.07384                 1.08352                 1.09200                 1.10348                 1.10739                 1.10746                 1.10677                 1.10775                 1.10855                 1.10103                 1.08856                 1.10610                 1.06708         1.15850                 0.94549                 0.87555                 1.18281                 1.16903                 1.06219                 1.02319         0.97018                 0.98167                 0.98031                 0.97950                 0.97274         
1988    1.05873     1.03423                 1.03816                 1.04583                 1.06322                 1.07735                 1.08514                 1.09148                 1.09832                 1.10320                 1.09848                 1.06768                 1.05974                 1.04265         1.20034                 0.85504                 0.77780                 0.93007                 0.88766                 0.80029                 0.93968         0.98359                 0.97513                 0.97868                 1.02303                 1.02026         
