year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.83944                 0.73949                         0.76301                         0.78239                         0.81418                         0.83191                         0.83601                         0.83944                         0.83643                         0.82304                         0.80072                         0.73079                         0.81418                                 0.36847             
1980    0.85279                 0.77168                         0.79730                         0.81598                         0.84024                         0.85123                         0.85279                         0.84969                         0.84302                         0.83266                         0.81887                         0.75087                         0.84024                                 0.35528             
1981    0.89062                 0.80328                         0.83105                         0.85055                         0.87550                         0.88849                         0.89062                         0.88538                         0.87326                         0.85235                         0.81811                         0.76123                         0.87504                                 0.36124             
1982    0.77367                 0.72412                         0.73986                         0.75003                         0.76286                         0.77006                         0.77367                         0.77022                         0.76224                         0.75010                         0.73103                         0.68035                         0.76286                                 0.32656             
1983    0.78393                 0.75345                         0.76877                         0.77769                         0.78393                         0.77634                         0.76276                         0.74669                         0.72677                         0.71232                         0.69496                         0.67331                         0.78393                                 0.31395             
1984    0.78810                 0.74067                         0.75804                         0.77013                         0.78310                         0.78810                         0.78778                         0.78481                         0.77799                         0.76721                         0.75175                         0.70507                         0.77059                                 0.32958             
1985    0.80721                 0.75539                         0.77405                         0.78683                         0.80194                         0.80675                         0.80721                         0.80692                         0.80232                         0.79759                         0.79184                         0.72505                         0.79639                                 0.33088             
1986    0.87503                 0.82410                         0.84095                         0.85286                         0.86967                         0.87503                         0.87095                         0.86458                         0.85636                         0.84722                         0.83974                         0.77994                         0.85904                                 0.36404             
1987    0.79967                 0.75051                         0.76926                         0.78199                         0.79599                         0.79967                         0.79727                         0.79406                         0.78658                         0.77731                         0.76040                         0.71194                         0.79599                                 0.35589             
1988    0.85749                 0.79398                         0.81912                         0.83652                         0.85545                         0.85749                         0.85595                         0.85233                         0.84613                         0.83653                         0.82129                         0.76279                         0.85545                                 0.35549             
1989    0.92440                 0.80411                         0.83479                         0.85916                         0.89406                         0.91208                         0.91897                         0.92319                         0.92440                         0.91793                         0.89389                         0.80175                         0.89406                                 0.37122             
1990    0.91116                 0.82893                         0.85858                         0.88015                         0.90603                         0.91116                         0.90071                         0.88636                         0.87365                         0.86094                         0.83825                         0.78190                         0.90603                                 0.37804             
1991    0.89110                 0.82046                         0.84779                         0.86666                         0.88783                         0.89110                         0.88433                         0.87505                         0.86251                         0.84292                         0.81266                         0.76722                         0.88598                                 0.36154             
1992    0.92226                 0.86555                         0.88866                         0.90493                         0.92226                         0.92179                         0.91339                         0.90332                         0.88815                         0.86606                         0.83148                         0.79119                         0.92226                                 0.38484             
1993    0.87118                 0.82567                         0.84839                         0.86235                         0.87118                         0.86407                         0.84936                         0.83344                         0.82108                         0.80176                         0.76953                         0.74161                         0.87110                                 0.34909             
1994    0.85244                 0.78244                         0.80135                         0.81435                         0.82780                         0.83385                         0.84468                         0.85244                         0.84935                         0.83853                         0.82268                         0.75585                         0.82780                                 0.35819             
1995    0.82578                 0.79874                         0.81364                         0.82143                         0.82578                         0.81685                         0.79752                         0.77575                         0.75438                         0.73355                         0.70548                         0.69710                         0.82578                                 0.33813             
1996    0.89088                 0.85620                         0.87314                         0.88368                         0.89088                         0.88105                         0.86124                         0.84296                         0.82622                         0.80687                         0.77709                         0.75334                         0.89088                                 0.35231             
1997    0.88175                 0.81101                         0.83887                         0.86049                         0.88175                         0.87955                         0.86474                         0.85141                         0.84406                         0.84335                         0.84320                         0.77823                         0.80935                                 0.35832             
1998    0.90998                 0.85225                         0.87957                         0.89701                         0.90998                         0.90057                         0.87975                         0.85872                         0.83554                         0.80708                         0.77556                         0.75910                         0.90323                                 0.36099             
1999    0.93710                 0.87482                         0.90425                         0.92324                         0.93710                         0.92812                         0.90420                         0.87541                         0.84735                         0.82196                         0.79333                         0.77071                         0.93710                                 0.35271             
2000    0.96474                 0.90418                         0.93264                         0.95070                         0.96474                         0.95265                         0.93004                         0.91225                         0.89341                         0.87937                         0.87036                         0.83002                         0.93345                                 0.39080             
2001    0.93538                 0.86964                         0.89936                         0.91850                         0.93538                         0.92281                         0.89011                         0.85559                         0.82747                         0.80123                         0.77520                         0.76843                         0.93282                                 0.36565             
2002    0.93589                 0.87792                         0.90652                         0.92355                         0.93589                         0.93259                         0.92644                         0.91865                         0.91004                         0.89975                         0.88214                         0.81937                         0.91199                                 0.38700             
2003    0.90102                 0.86077                         0.88579                         0.89792                         0.90102                         0.89267                         0.87758                         0.85911                         0.83894                         0.81790                         0.79076                         0.76056                         0.90102                                 0.35777             
2004    0.95750                 0.90045                         0.92859                         0.94561                         0.95750                         0.94992                         0.93393                         0.90973                         0.88652                         0.86682                         0.84387                         0.81186                         0.94274                                 0.38465             
2005    0.90748                 0.85054                         0.87737                         0.89374                         0.90748                         0.90421                         0.89028                         0.87293                         0.85657                         0.84000                         0.81240                         0.77391                         0.90748                                 0.38260             
2006    0.84218                 0.80462                         0.82487                         0.83572                         0.84218                         0.83638                         0.82407                         0.80981                         0.79608                         0.78400                         0.76678                         0.72699                         0.84218                                 0.34882             
2007    0.98370                 0.91846                         0.94915                         0.96774                         0.98370                         0.97794                         0.96042                         0.94133                         0.92104                         0.89643                         0.86247                         0.82566                         0.98370                                 0.38970             
2008    0.89889                 0.84015                         0.86655                         0.88267                         0.89889                         0.89863                         0.89063                         0.88446                         0.87839                         0.86584                         0.84162                         0.77827                         0.89180                                 0.38836             
2009    0.91998                 0.85675                         0.88234                         0.89964                         0.91721                         0.91998                         0.91430                         0.90702                         0.89647                         0.87901                         0.85564                         0.79844                         0.91051                                 0.37601             
2010    0.86041                 0.80128                         0.83007                         0.84781                         0.86041                         0.85327                         0.83950                         0.82832                         0.81861                         0.81114                         0.79880                         0.73787                         0.86041                                 0.36015             
2011    0.91716                 0.86925                         0.89575                         0.91078                         0.91716                         0.90186                         0.87814                         0.85641                         0.83829                         0.81609                         0.78388                         0.75848                         0.91716                                 0.37950             
2012    0.76406                 0.72141                         0.73797                         0.74674                         0.76406                         0.76336                         0.76308                         0.76145                         0.75775                         0.75072                         0.74542                         0.68043                         0.75353                                 0.33196             
2013    0.86073                 0.81460                         0.83584                         0.84946                         0.86073                         0.85313                         0.83259                         0.80711                         0.78464                         0.75888                         0.72810                         0.71404                         0.85842                                 0.35160             
2014    0.81475                 0.74683                         0.76596                         0.77754                         0.78982                         0.79995                         0.80752                         0.81295                         0.81475                         0.81376                         0.80539                         0.72240                         0.78980                                 0.35839             
2015    0.82551                 0.81380                         0.82435                         0.82551                         0.81887                         0.80819                         0.79824                         0.78922                         0.78305                         0.77937                         0.76897                         0.72584                         0.81775                                 0.34171             
2016    0.88645                 0.83870                         0.86130                         0.87504                         0.88645                         0.88473                         0.87843                         0.87402                         0.86756                         0.85849                         0.84081                         0.77978                         0.88645                                 0.37699             
2017    0.82370                 0.76498                         0.78202                         0.79195                         0.80309                         0.80751                         0.81147                         0.82030                         0.82370                         0.81848                         0.80403                         0.72592                         0.80309                                 0.35259             
2018    0.84630                 0.74413                         0.76450                         0.77854                         0.79533                         0.80279                         0.80936                         0.81749                         0.82916                         0.83827                         0.84630                         0.74918                         0.78738                                 0.35655             
