year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.94817                 0.90814                         0.92944                         0.94209                         0.94817                         0.93960                         0.92600                         0.91617                         0.89876                         0.87453                         0.83912                         0.81951                         0.94749                                 0.41290             
1980    0.85718                 0.80671                         0.83088                         0.84645                         0.85718                         0.84716                         0.83075                         0.81657                         0.79825                         0.77229                         0.73567                         0.72189                         0.85718                                 0.39245             
1981    0.96237                 0.86776                         0.90068                         0.92599                         0.95650                         0.96237                         0.95699                         0.94527                         0.92255                         0.88600                         0.83717                         0.80830                         0.95650                                 0.41815             
1982    0.87036                 0.81284                         0.83702                         0.85435                         0.87036                         0.86534                         0.86067                         0.85407                         0.83485                         0.80364                         0.76521                         0.74722                         0.87036                                 0.37138             
1983    0.86390                 0.82853                         0.84900                         0.86024                         0.86390                         0.85954                         0.85870                         0.85141                         0.83170                         0.80495                         0.77891                         0.75825                         0.86390                                 0.37328             
1984    0.86148                 0.81936                         0.84082                         0.85365                         0.86148                         0.85376                         0.84817                         0.84330                         0.83233                         0.81507                         0.78902                         0.75574                         0.86148                                 0.37013             
1985    0.83363                 0.81057                         0.82651                         0.83363                         0.83124                         0.81588                         0.79827                         0.78128                         0.75859                         0.73020                         0.70288                         0.70863                         0.83124                                 0.34916             
1986    0.94327                 0.90442                         0.92419                         0.93580                         0.94327                         0.94201                         0.93702                         0.92850                         0.91787                         0.90205                         0.88147                         0.83627                         0.94126                                 0.40347             
1987    0.81634                 0.78185                         0.80071                         0.81175                         0.81634                         0.80401                         0.79013                         0.77676                         0.75969                         0.73433                         0.69706                         0.69036                         0.81634                                 0.35606             
1988    0.89434                 0.83028                         0.85852                         0.87763                         0.89434                         0.88784                         0.87129                         0.85577                         0.83236                         0.80037                         0.76337                         0.75638                         0.89434                                 0.37057             
1989    0.92017                 0.85470                         0.88365                         0.90290                         0.92017                         0.91699                         0.90375                         0.88960                         0.87083                         0.84027                         0.79234                         0.76860                         0.92017                                 0.39009             
1990    0.92719                 0.85436                         0.88525                         0.90664                         0.92719                         0.92625                         0.91747                         0.90674                         0.88826                         0.85649                         0.80857                         0.77614                         0.92719                                 0.40404             
1991    0.93468                 0.86867                         0.89602                         0.91494                         0.93468                         0.92851                         0.92099                         0.91333                         0.90288                         0.87825                         0.83828                         0.80025                         0.93468                                 0.39904             
1992    0.94294                 0.88870                         0.91644                         0.93376                         0.94294                         0.92816                         0.90708                         0.88534                         0.85473                         0.81124                         0.75599                         0.76703                         0.94108                                 0.39791             
1993    0.83818                 0.81357                         0.82892                         0.83818                         0.83776                         0.82352                         0.80994                         0.80094                         0.78480                         0.75836                         0.71838                         0.71168                         0.83776                                 0.35595             
1994    0.85070                 0.80313                         0.82352                         0.83652                         0.85070                         0.85011                         0.84823                         0.84824                         0.83832                         0.81309                         0.77946                         0.74539                         0.85070                                 0.37438             
1995    0.77957                 0.75934                         0.77362                         0.77957                         0.77307                         0.75498                         0.73894                         0.73478                         0.72777                         0.70735                         0.67395                         0.66293                         0.77127                                 0.34132             
1996    0.88187                 0.85547                         0.87311                         0.88187                         0.88075                         0.86346                         0.84004                         0.82031                         0.79855                         0.76845                         0.72761                         0.72494                         0.88075                                 0.35142             
1997    0.70711                 0.67128                         0.67677                         0.67595                         0.66874                         0.66941                         0.68545                         0.70214                         0.70711                         0.69433                         0.66914                         0.62714                         0.66361                                 0.31150             
1998    0.74810                 0.72897                         0.74251                         0.74810                         0.74472                         0.73236                         0.72782                         0.73410                         0.73135                         0.70866                         0.66203                         0.63884                         0.73736                                 0.32647             
1999    0.81211                 0.76081                         0.78527                         0.80112                         0.81211                         0.80134                         0.78325                         0.76408                         0.73723                         0.70204                         0.66055                         0.66172                         0.77222                                 0.32419             
2000    0.82048                 0.77824                         0.80059                         0.81364                         0.82048                         0.80971                         0.79852                         0.78637                         0.76352                         0.73101                         0.69381                         0.68664                         0.82048                                 0.35577             
2001    0.82641                 0.77854                         0.80342                         0.81902                         0.82641                         0.80892                         0.78299                         0.75831                         0.72995                         0.69371                         0.64953                         0.66375                         0.82461                                 0.34012             
2002    0.82366                 0.76229                         0.78690                         0.80557                         0.82366                         0.82193                         0.81648                         0.81328                         0.80459                         0.78575                         0.75816                         0.71118                         0.81844                                 0.36332             
2003    0.80764                 0.77837                         0.79812                         0.80764                         0.80318                         0.77829                         0.75324                         0.73373                         0.71347                         0.68419                         0.64585                         0.65784                         0.80048                                 0.33989             
