year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    1.06394                 0.91729                         0.93946                         0.95600                         0.97244                         0.97274                         0.97206                         0.98188                         0.99614                         1.01172                         1.03652                         0.92551                         1.06394                                 0.42931             
1980    1.09122                 0.94305                         0.96774                         0.98320                         1.00503                         1.00138                         0.98280                         0.98494                         1.00494                         1.03703                         1.07187                         0.95181                         1.08230                                 0.42919             
1981    0.99253                 0.83313                         0.85034                         0.86311                         0.87804                         0.87692                         0.87858                         0.89179                         0.90965                         0.93331                         0.96302                         0.85312                         0.99253                                 0.39739             
1982    1.00484                 0.97597                         0.99371                         1.00310                         1.00484                         0.99200                         0.96400                         0.94473                         0.93168                         0.93231                         0.93568                         0.90556                         0.93713                                 0.39111             
1983    1.20765                 0.99171                         1.01502                         1.04002                         1.08549                         1.10602                         1.10401                         1.09797                         1.08820                         1.06874                         1.07499                         1.03314                         1.04201                                 0.45530             
1984    1.12569                 0.89281                         0.92184                         0.94436                         0.96886                         0.99515                         1.03535                         1.07993                         1.11073                         1.11561                         1.10984                         0.96777                         1.10688                                 0.40945             
1985    1.04058                 1.02209                         1.03673                         1.04058                         1.02746                         0.99121                         0.94208                         0.90813                         0.88348                         0.86385                         0.84473                         0.87941                         0.84640                                 0.39150             
1986    1.02051                 0.99736                         1.01419                         1.02051                         1.01281                         0.99551                         0.98091                         0.97027                         0.95771                         0.95163                         0.95772                         0.91749                         0.97184                                 0.40711             
1987    1.14293                 1.08050                         1.10034                         1.10992                         1.10981                         1.10427                         1.11984                         1.13458                         1.14293                         1.13825                         1.12458                         1.04623                         1.12326                                 0.44507             
1988    1.16771                 1.00480                         1.03592                         1.05817                         1.08693                         1.10176                         1.11773                         1.13071                         1.14538                         1.14898                         1.15309                         1.03039                         1.16771                                 0.45341             
1989    1.19702                 0.95869                         0.99059                         1.01339                         1.03787                         1.04149                         1.05064                         1.06865                         1.08206                         1.09654                         1.12440                         1.00211                         1.17697                                 0.43455             
1990    1.11533                 1.03164                         1.05647                         1.07202                         1.08125                         1.07597                         1.06514                         1.05948                         1.06178                         1.07385                         1.09446                         1.00450                         1.11533                                 0.46461             
1991    1.14228                 1.03283                         1.06200                         1.08523                         1.11721                         1.13260                         1.13733                         1.14228                         1.13699                         1.12959                         1.12668                         1.03575                         1.13305                                 0.46855             
1992    1.11052                 0.97988                         1.00043                         1.01247                         1.05493                         1.08859                         1.09390                         1.09632                         1.09278                         1.07575                         1.06558                         0.99996                         1.03850                                 0.44333             
1993    1.25668                 1.04704                         1.07323                         1.10021                         1.14503                         1.17708                         1.19830                         1.22093                         1.23062                         1.23320                         1.24231                         1.10061                         1.24404                                 0.50624             
1994    1.14797                 1.02771                         1.04941                         1.06436                         1.07756                         1.07729                         1.07947                         1.09356                         1.10599                         1.11247                         1.12307                         1.01865                         1.14797                                 0.45301             
1995    1.21076                 1.03362                         1.04859                         1.05494                         1.05757                         1.07119                         1.08632                         1.10840                         1.12155                         1.13271                         1.16220                         1.03937                         1.20723                                 0.46929             
1996    1.18797                 1.05857                         1.08810                         1.10726                         1.13456                         1.13469                         1.12045                         1.11482                         1.11684                         1.12290                         1.14481                         1.04369                         1.18797                                 0.45206             
1997    1.15873                 1.03444                         1.06757                         1.09337                         1.12126                         1.12310                         1.10932                         1.08843                         1.07205                         1.07208                         1.10275                         1.01991                         1.15873                                 0.46614             
1998    1.63007                 1.36106                         1.42911                         1.49308                         1.58732                         1.62611                         1.63007                         1.61829                         1.56274                         1.47527                         1.44069                         1.38215                         1.34230                                 0.59942             
1999    1.12015                 1.00233                         1.04254                         1.07330                         1.11026                         1.11844                         1.11058                         1.10110                         1.08800                         1.08123                         1.09643                         0.99827                         1.12015                                 0.43756             
2000    1.22331                 1.08753                         1.12868                         1.16219                         1.20137                         1.22331                         1.22266                         1.21842                         1.20353                         1.18062                         1.18430                         1.08797                         1.21598                                 0.47838             
2001    1.19531                 1.02013                         1.06530                         1.10311                         1.14400                         1.17339                         1.19186                         1.19531                         1.18354                         1.16632                         1.16049                         1.04050                         1.16293                                 0.48034             
2002    1.27708                 1.21173                         1.24460                         1.26643                         1.27708                         1.24889                         1.21096                         1.19551                         1.18128                         1.16815                         1.16434                         1.10677                         1.17089                                 0.51559             
2003    1.18083                 1.10540                         1.14064                         1.16442                         1.18083                         1.17471                         1.15807                         1.15888                         1.16712                         1.17711                         1.17989                         1.05594                         1.16596                                 0.48798             
2004    1.21303                 1.12425                         1.16498                         1.19171                         1.21303                         1.19825                         1.16517                         1.13766                         1.12238                         1.11714                         1.12944                         1.05243                         1.13744                                 0.51371             
2005    1.20202                 1.09861                         1.12814                         1.14684                         1.16279                         1.15926                         1.17059                         1.19170                         1.20202                         1.20094                         1.19765                         1.07220                         1.20034                                 0.51183             
2006    1.10384                 1.01966                         1.05012                         1.06995                         1.08319                         1.07149                         1.05367                         1.04212                         1.04546                         1.05430                         1.06919                         0.98914                         1.09889                                 0.46361             
2007    1.24574                 1.04893                         1.08160                         1.10496                         1.12859                         1.13533                         1.13505                         1.14999                         1.17807                         1.19874                         1.21950                         1.06700                         1.24574                                 0.50352             
2008    1.17536                 0.97876                         1.00719                         1.02846                         1.04746                         1.04443                         1.04848                         1.07082                         1.11056                         1.14543                         1.16466                         0.99436                         1.17536                                 0.47281             
2009    1.09829                 1.03899                         1.06456                         1.07639                         1.07598                         1.05351                         1.03679                         1.03689                         1.05192                         1.06921                         1.08212                         0.97430                         1.09829                                 0.46131             
2010    1.22530                 1.11427                         1.14752                         1.17052                         1.18842                         1.19442                         1.18945                         1.19601                         1.21536                         1.22307                         1.22331                         1.09292                         1.21696                                 0.50846             
2011    1.19898                 1.16152                         1.18787                         1.19898                         1.19547                         1.16703                         1.13103                         1.11268                         1.11930                         1.12812                         1.14512                         1.06957                         1.17804                                 0.49705             
2012    1.08639                 1.01006                         1.03767                         1.05253                         1.05538                         1.03621                         1.01742                         1.01492                         1.02809                         1.04710                         1.07021                         0.96055                         1.08639                                 0.46420             
2013    1.13585                 0.96192                         0.98768                         1.00104                         1.00307                         0.99637                         1.00677                         1.02636                         1.04903                         1.07382                         1.09657                         0.96131                         1.13585                                 0.45401             
2014    1.23951                 1.02819                         1.05868                         1.07905                         1.10305                         1.10899                         1.10877                         1.12217                         1.14453                         1.17720                         1.21050                         1.04763                         1.23812                                 0.49921             
2015    1.23495                 1.21703                         1.23376                         1.23495                         1.21386                         1.17929                         1.14017                         1.11003                         1.09678                         1.09542                         1.10885                         1.07600                         1.14418                                 0.48921             
2016    1.15403                 0.93303                         0.95019                         0.95897                         0.96753                         1.01179                         1.04205                         1.07573                         1.10675                         1.11723                         1.11827                         0.98227                         1.12883                                 0.46056             
