year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    1.08844                 0.93717                         0.96258                         0.98444                         1.01555                         1.02780                         1.04084                         1.06500                         1.08587                         1.08844                         1.07164                         0.96708                         1.05272                                 0.46685             
1980    1.20301                 0.98103                         1.01234                         1.04394                         1.09889                         1.13473                         1.15418                         1.17888                         1.19982                         1.20301                         1.17723                         1.03821                         1.16593                                 0.49809             
1981    1.09251                 0.91460                         0.94492                         0.97295                         1.01596                         1.03681                         1.04688                         1.06595                         1.08930                         1.09251                         1.06511                         0.94834                         1.05663                                 0.44767             
1982    1.23117                 1.05103                         1.08992                         1.12438                         1.18117                         1.21412                         1.22544                         1.23117                         1.22579                         1.19802                         1.14635                         1.07291                         1.21350                                 0.47631             
1983    1.39495                 1.19019                         1.23569                         1.27908                         1.35119                         1.38631                         1.39187                         1.39495                         1.38978                         1.36595                         1.34131                         1.24634                         1.29678                                 0.55390             
1984    1.23798                 0.88342                         0.92720                         0.97620                         1.07831                         1.14956                         1.19205                         1.22362                         1.23798                         1.22918                         1.20569                         1.04199                         1.22362                                 0.45784             
1985    1.04103                 0.97659                         1.00414                         1.02343                         1.04103                         1.03557                         1.01883                         1.00552                         0.98177                         0.94538                         0.90500                         0.90657                         0.97817                                 0.44707             
1986    1.09412                 0.92321                         0.94571                         0.96063                         0.98978                         1.01401                         1.05198                         1.08265                         1.09412                         1.08180                         1.05458                         0.94821                         1.08265                                 0.44170             
1987    1.14459                 0.98583                         1.01479                         1.03697                         1.06311                         1.08286                         1.10128                         1.12495                         1.14459                         1.13621                         1.09025                         0.98709                         1.11513                                 0.45598             
1988    1.24430                 0.96601                         1.00811                         1.04297                         1.09945                         1.15211                         1.19969                         1.23360                         1.24430                         1.21459                         1.15337                         1.02752                         1.23360                                 0.48830             
1989    1.14245                 0.93250                         0.97286                         1.00720                         1.05596                         1.09147                         1.11936                         1.13954                         1.14245                         1.12520                         1.09892                         0.99178                         1.13237                                 0.47261             
1990    1.19241                 1.01582                         1.05542                         1.08574                         1.13104                         1.16250                         1.18167                         1.19241                         1.19199                         1.17879                         1.14762                         1.03966                         1.16331                                 0.52168             
1991    1.30097                 1.06547                         1.10491                         1.14463                         1.21186                         1.25640                         1.28549                         1.30097                         1.29632                         1.26038                         1.19363                         1.09474                         1.28785                                 0.51657             
1992    1.19865                 0.98824                         1.02911                         1.06647                         1.12901                         1.17840                         1.19410                         1.19865                         1.18533                         1.13874                         1.06899                         1.01375                         1.18345                                 0.46910             
1993    1.24890                 1.01844                         1.05987                         1.09730                         1.16176                         1.20928                         1.23706                         1.24890                         1.23699                         1.20168                         1.15868                         1.06254                         1.24890                                 0.50006             
1994    1.18873                 1.04900                         1.07770                         1.10080                         1.13286                         1.15201                         1.17257                         1.18873                         1.18386                         1.15241                         1.10559                         1.03686                         1.18773                                 0.45884             
1995    1.12517                 0.92278                         0.94406                         0.96688                         1.00621                         1.04349                         1.07267                         1.10662                         1.12517                         1.11949                         1.10703                         0.98494                         1.10662                                 0.42975             
1996    0.99233                 0.85748                         0.88142                         0.90261                         0.94133                         0.96024                         0.97605                         0.99233                         0.99193                         0.97059                         0.95027                         0.87697                         0.98367                                 0.39119             
1997    1.02540                 0.86213                         0.89186                         0.92281                         0.97177                         1.00129                         1.01562                         1.02540                         1.02115                         0.99807                         0.97530                         0.90506                         1.01829                                 0.41439             
1998    1.22363                 1.09196                         1.11330                         1.13323                         1.17207                         1.19896                         1.21379                         1.22363                         1.20846                         1.15207                         1.08940                         1.05736                         1.14547                                 0.48521             
