year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.45465                 0.38926                         0.41311                         0.42904                         0.44030                         0.43140                         0.40960                         0.38471                         0.37457                         0.36738                         0.35721                         0.34636                         0.42514                                 0.17838             
1980    0.49922                 0.34944                         0.36201                         0.36815                         0.36984                         0.36450                         0.35742                         0.35954                         0.36967                         0.37248                         0.35787                         0.31854                         0.36438                                 0.14727             
1981    0.39778                 0.32291                         0.34147                         0.35303                         0.35810                         0.34422                         0.32171                         0.30606                         0.30446                         0.30176                         0.28949                         0.27836                         0.33397                                 0.12861             
1982    0.38295                 0.35273                         0.36341                         0.36767                         0.36091                         0.34149                         0.32131                         0.31596                         0.32069                         0.31779                         0.30447                         0.29328                         0.36308                                 0.11760             
1983    0.40845                 0.33849                         0.34264                         0.34057                         0.32288                         0.29208                         0.25972                         0.23798                         0.22981                         0.22185                         0.21422                         0.24223                         0.32891                                 0.11244             
1984    0.37913                 0.35227                         0.37014                         0.37913                         0.37612                         0.35240                         0.31888                         0.29105                         0.27799                         0.27501                         0.26720                         0.27068                         0.36176                                 0.13579             
1985    0.38169                 0.31703                         0.33407                         0.34419                         0.34537                         0.32540                         0.29577                         0.27683                         0.27660                         0.27393                         0.25945                         0.25412                         0.32504                                 0.11959             
1986    0.37298                 0.35177                         0.36532                         0.37298                         0.37240                         0.35576                         0.33429                         0.31840                         0.31111                         0.30065                         0.28141                         0.28443                         0.36788                                 0.13495             
1987    0.44411                 0.32392                         0.33498                         0.34078                         0.33958                         0.32750                         0.31740                         0.32129                         0.33786                         0.35250                         0.35418                         0.31052                         0.32941                                 0.14003             
1988    0.50817                 0.29975                         0.31613                         0.32512                         0.32573                         0.30952                         0.28579                         0.26394                         0.25354                         0.24735                         0.24559                         0.24628                         0.30973                                 0.11285             
1989    0.45906                 0.35760                         0.37919                         0.39576                         0.41265                         0.40941                         0.39653                         0.38618                         0.37940                         0.37146                         0.35991                         0.33483                         0.37986                                 0.17228             
1990    0.47894                 0.43569                         0.45994                         0.47435                         0.47894                         0.45807                         0.42571                         0.40207                         0.38629                         0.37403                         0.35225                         0.35590                         0.46134                                 0.18063             
1991    0.46411                 0.33365                         0.34946                         0.35968                         0.36673                         0.35894                         0.34394                         0.33418                         0.33044                         0.32125                         0.30286                         0.28941                         0.35012                                 0.14153             
1992    0.56041                 0.35230                         0.36999                         0.38241                         0.38919                         0.37525                         0.34870                         0.32883                         0.31746                         0.30722                         0.29773                         0.30025                         0.38241                                 0.16219             
1993    0.50498                 0.28585                         0.29339                         0.29553                         0.28606                         0.26167                         0.24048                         0.23693                         0.26243                         0.27967                         0.28895                         0.25191                         0.28527                                 0.11320             
1994    0.61040                 0.42847                         0.45096                         0.46500                         0.47155                         0.45364                         0.42334                         0.39063                         0.36631                         0.34368                         0.31820                         0.34224                         0.44279                                 0.18640             
1995    0.55335                 0.35074                         0.36006                         0.36268                         0.35220                         0.33019                         0.30505                         0.31046                         0.32485                         0.32862                         0.31318                         0.28856                         0.35675                                 0.15625             
1996    0.41237                 0.36338                         0.37842                         0.38760                         0.39249                         0.38283                         0.36299                         0.33861                         0.32335                         0.31326                         0.30257                         0.30934                         0.37599                                 0.17001             
1997    0.50006                 0.46958                         0.48968                         0.50006                         0.49591                         0.47134                         0.43713                         0.40024                         0.37129                         0.35348                         0.33678                         0.36592                         0.49327                                 0.18271             
1998    0.57111                 0.35224                         0.35682                         0.35309                         0.33028                         0.29422                         0.25038                         0.21482                         0.20446                         0.20226                         0.19496                         0.23839                         0.33880                                 0.11583             
1999    0.51320                 0.39554                         0.41893                         0.43102                         0.42962                         0.40302                         0.35978                         0.31470                         0.28396                         0.26707                         0.25024                         0.29203                         0.42556                                 0.15399             
2000    0.48269                 0.45812                         0.47644                         0.48269                         0.46710                         0.43482                         0.39603                         0.36536                         0.35094                         0.34397                         0.33699                         0.35435                         0.47089                                 0.18359             
2001    0.52136                 0.47472                         0.50163                         0.51783                         0.52136                         0.49251                         0.44855                         0.40499                         0.37460                         0.34916                         0.32183                         0.36123                         0.51755                                 0.19750             
2002    0.50946                 0.41545                         0.43910                         0.45327                         0.45951                         0.44283                         0.41283                         0.38097                         0.35844                         0.34299                         0.31875                         0.33540                         0.45174                                 0.17971             
2003    0.44976                 0.42679                         0.44316                         0.44976                         0.43894                         0.40273                         0.35751                         0.32049                         0.29920                         0.28748                         0.27173                         0.30501                         0.43727                                 0.17413             
2004    0.49840                 0.44809                         0.47506                         0.49171                         0.49840                         0.47674                         0.44233                         0.41198                         0.39392                         0.38336                         0.36430                         0.36608                         0.47677                                 0.21104             
2005    0.42726                 0.37837                         0.39487                         0.40196                         0.39327                         0.36357                         0.32822                         0.30017                         0.28472                         0.27848                         0.26592                         0.28138                         0.39886                                 0.15305             
2006    0.42342                 0.39721                         0.41467                         0.42171                         0.41281                         0.38396                         0.34923                         0.32240                         0.30810                         0.30240                         0.29501                         0.30877                         0.41747                                 0.16661             
2007    0.47743                 0.33388                         0.34523                         0.34620                         0.32394                         0.28022                         0.23224                         0.19738                         0.18135                         0.17672                         0.17286                         0.21475                         0.33671                                 0.12418             
2008    0.45230                 0.42176                         0.44338                         0.45230                         0.44109                         0.40186                         0.34930                         0.30886                         0.28981                         0.28227                         0.27091                         0.29971                         0.43081                                 0.16048             
2009    0.44595                 0.42525                         0.44177                         0.44595                         0.42696                         0.38629                         0.34189                         0.30926                         0.29970                         0.30376                         0.31076                         0.32034                         0.43628                                 0.17532             
2010    0.49423                 0.35950                         0.37016                         0.37260                         0.36140                         0.33655                         0.31191                         0.29967                         0.30161                         0.30261                         0.29824                         0.28877                         0.37260                                 0.15929             
2011    0.45153                 0.38610                         0.39253                         0.38778                         0.35965                         0.32159                         0.28633                         0.26568                         0.26285                         0.26584                         0.26740                         0.27556                         0.38350                                 0.14834             
2012    0.44600                 0.37449                         0.38912                         0.39062                         0.36778                         0.32414                         0.27846                         0.24033                         0.21953                         0.20600                         0.19042                         0.23761                         0.37610                                 0.12741             
2013    0.52558                 0.39112                         0.40659                         0.41324                         0.40740                         0.38285                         0.34996                         0.32207                         0.30912                         0.30221                         0.29157                         0.30327                         0.40625                                 0.16449             
