year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.52443                 0.46924                         0.49678                         0.51509                         0.52443                         0.50147                         0.46005                         0.41295                         0.36526                         0.32554                         0.29385                         0.35568                         0.52443                                 0.17694             
1980    0.52479                 0.40676                         0.42847                         0.44213                         0.44733                         0.42890                         0.40046                         0.37117                         0.35080                         0.33543                         0.31158                         0.32868                         0.43974                                 0.17751             
1981    0.44455                 0.40148                         0.42389                         0.43792                         0.44455                         0.42818                         0.39881                         0.36278                         0.32087                         0.28338                         0.25318                         0.29983                         0.43690                                 0.15568             
1982    0.46134                 0.43343                         0.45086                         0.46119                         0.46134                         0.44005                         0.41818                         0.40421                         0.39313                         0.37564                         0.34734                         0.35940                         0.45715                                 0.16762             
1983    0.41061                 0.39911                         0.40832                         0.41061                         0.40273                         0.38008                         0.35040                         0.32623                         0.30950                         0.30196                         0.29322                         0.31396                         0.39960                                 0.16311             
1984    0.45004                 0.41044                         0.43212                         0.44541                         0.45004                         0.43137                         0.40115                         0.37011                         0.34249                         0.31599                         0.27846                         0.31033                         0.44226                                 0.16900             
1985    0.42007                 0.38091                         0.40041                         0.41285                         0.41918                         0.40457                         0.37758                         0.34438                         0.30801                         0.27494                         0.24042                         0.28275                         0.40724                                 0.15481             
1986    0.46753                 0.42921                         0.44735                         0.45967                         0.46753                         0.45667                         0.43507                         0.41158                         0.38741                         0.35910                         0.32549                         0.34591                         0.46753                                 0.17104             
1987    0.44076                 0.37577                         0.39035                         0.39986                         0.40305                         0.38870                         0.36862                         0.35470                         0.35190                         0.34857                         0.33739                         0.32772                         0.39799                                 0.16922             
1988    0.50696                 0.37539                         0.39647                         0.41035                         0.42026                         0.41170                         0.39121                         0.36475                         0.33663                         0.30468                         0.26446                         0.29317                         0.41357                                 0.14837             
1989    0.50713                 0.43698                         0.46492                         0.48539                         0.50713                         0.50629                         0.49004                         0.46756                         0.44188                         0.41649                         0.38283                         0.38315                         0.50713                                 0.19722             
1990    0.53945                 0.46707                         0.49268                         0.50921                         0.51917                         0.50452                         0.47395                         0.43601                         0.40248                         0.37794                         0.34675                         0.37057                         0.51775                                 0.20297             
1991    0.46997                 0.35063                         0.36790                         0.37756                         0.38073                         0.36514                         0.34586                         0.33359                         0.32755                         0.31191                         0.28215                         0.28258                         0.37867                                 0.14854             
1992    0.50818                 0.40694                         0.42888                         0.44197                         0.44203                         0.41611                         0.38088                         0.34952                         0.32965                         0.30740                         0.27721                         0.31278                         0.44203                                 0.16271             
1993    0.48081                 0.30864                         0.31516                         0.31516                         0.29903                         0.26391                         0.22510                         0.20242                         0.21597                         0.23706                         0.24588                         0.23381                         0.29651                                 0.09942             
1994    0.55327                 0.47193                         0.48867                         0.49528                         0.48275                         0.44624                         0.40096                         0.35545                         0.31243                         0.27514                         0.23994                         0.31697                         0.47462                                 0.17673             
1995    0.52847                 0.34062                         0.34926                         0.35073                         0.33523                         0.30079                         0.26723                         0.29400                         0.31028                         0.31388                         0.30142                         0.26457                         0.33067                                 0.11508             
1996    0.42982                 0.32794                         0.33714                         0.34134                         0.33656                         0.31751                         0.29103                         0.26065                         0.22928                         0.20259                         0.18256                         0.22975                         0.32578                                 0.13102             
1997    0.39418                 0.36551                         0.37313                         0.37422                         0.36637                         0.34431                         0.31254                         0.27759                         0.25616                         0.25820                         0.23963                         0.25992                         0.36046                                 0.13446             
1998    0.57260                 0.30807                         0.30938                         0.31653                         0.30985                         0.28346                         0.25478                         0.22221                         0.20655                         0.22351                         0.23032                         0.22595                         0.25867                                 0.10447             
1999    0.52533                 0.36569                         0.39102                         0.40902                         0.42318                         0.41118                         0.38186                         0.34478                         0.30715                         0.27659                         0.25643                         0.29227                         0.41509                                 0.14844             
2000    0.48011                 0.40377                         0.43439                         0.45734                         0.48011                         0.47409                         0.44935                         0.41664                         0.38120                         0.34661                         0.31294                         0.33910                         0.47665                                 0.18208             
2001    0.56958                 0.48928                         0.52366                         0.54845                         0.56958                         0.55495                         0.51531                         0.46810                         0.42394                         0.38173                         0.34108                         0.38653                         0.55899                                 0.18789             
2002    0.53701                 0.40429                         0.42919                         0.44755                         0.46455                         0.45790                         0.43444                         0.40239                         0.36953                         0.33735                         0.29916                         0.32905                         0.46455                                 0.17647             
2003    0.47132                 0.37984                         0.39899                         0.41124                         0.41617                         0.39724                         0.36235                         0.32120                         0.27966                         0.24421                         0.21784                         0.27928                         0.41617                                 0.14390             
2004    0.50751                 0.40946                         0.43621                         0.45491                         0.47053                         0.46144                         0.43703                         0.40810                         0.37704                         0.34426                         0.31458                         0.34184                         0.47053                                 0.19138             
2005    0.46798                 0.37554                         0.39323                         0.40339                         0.40427                         0.38545                         0.35888                         0.33395                         0.31110                         0.28706                         0.26200                         0.29108                         0.40427                                 0.14671             
2006    0.49545                 0.43761                         0.45997                         0.47517                         0.48764                         0.48243                         0.46895                         0.45176                         0.43002                         0.40614                         0.38087                         0.38213                         0.48764                                 0.19014             
2007    0.55250                 0.35659                         0.37221                         0.38179                         0.38479                         0.36771                         0.33644                         0.30158                         0.27237                         0.25262                         0.24126                         0.28151                         0.38479                                 0.14304             
2008    0.50799                 0.43360                         0.46146                         0.48126                         0.49644                         0.48244                         0.45031                         0.41222                         0.38062                         0.35211                         0.32299                         0.35293                         0.48679                                 0.18230             
2009    0.48680                 0.43604                         0.45837                         0.47339                         0.48468                         0.47588                         0.45351                         0.42571                         0.40263                         0.38924                         0.37919                         0.38536                         0.48422                                 0.20658             
2010    0.50457                 0.40166                         0.42083                         0.43490                         0.44758                         0.43876                         0.41434                         0.38658                         0.36349                         0.34841                         0.33674                         0.34978                         0.44758                                 0.17942             
