year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1980    1.85934                 1.80992                         1.83970                         1.85934                         1.85850                         1.83574                         1.80668                         1.78980                         1.79229                         1.79050                         1.79992                         1.68828                         1.85850                                 0.74551             
1981    1.85386                 1.79661                         1.83388                         1.85234                         1.85386                         1.82469                         1.79498                         1.78315                         1.79013                         1.81036                         1.83315                         1.67768                         1.85386                                 0.74631             
1982    1.85689                 1.81444                         1.84564                         1.85689                         1.84853                         1.81271                         1.78241                         1.75383                         1.72673                         1.71656                         1.73796                         1.65422                         1.84853                                 0.74002             
1983    2.34207                 2.18913                         2.24912                         2.29706                         2.34207                         2.31291                         2.24945                         2.18701                         2.13959                         2.10065                         2.07644                         2.01819                         2.20252                                 0.86898             
1984    2.09435                 1.99520                         2.04986                         2.08114                         2.09435                         2.06872                         2.02529                         2.00218                         1.97987                         1.95139                         1.90899                         1.81644                         2.08934                                 0.74313             
1985    1.99795                 1.95047                         1.98606                         1.99795                         1.98628                         1.92842                         1.86100                         1.80026                         1.76032                         1.73328                         1.73020                         1.70076                         1.98628                                 0.74776             
1986    1.98965                 1.91788                         1.95804                         1.97652                         1.98965                         1.96267                         1.94075                         1.93239                         1.92511                         1.91513                         1.90758                         1.77373                         1.98965                                 0.75583             
1987    2.23616                 2.12208                         2.17641                         2.20632                         2.23616                         2.23042                         2.18084                         2.11168                         2.04746                         2.00156                         1.97694                         1.91928                         2.21309                                 0.83448             
1988    2.15950                 2.08157                         2.12703                         2.14962                         2.15950                         2.12468                         2.06608                         2.00335                         1.95033                         1.90105                         1.86234                         1.83809                         2.14599                                 0.78496             
1989    2.12676                 2.00690                         2.05898                         2.09435                         2.12676                         2.11691                         2.08109                         2.04991                         2.02422                         2.00621                         2.00423                         1.87453                         2.12676                                 0.80273             
1990    1.96071                 1.89934                         1.93328                         1.95384                         1.96071                         1.95159                         1.92137                         1.89526                         1.88519                         1.87277                         1.88578                         1.77318                         1.95552                                 0.80319             
1991    2.08968                 2.00071                         2.04884                         2.07405                         2.08968                         2.08273                         2.04636                         2.00917                         1.96076                         1.91928                         1.91296                         1.82908                         2.08968                                 0.78958             
1992    2.11508                 1.99195                         2.04824                         2.08242                         2.11508                         2.08643                         2.03246                         1.97725                         1.93316                         1.90332                         1.90134                         1.83325                         2.03657                                 0.79575             
1993    2.01600                 1.96073                         1.99814                         2.01600                         2.00566                         1.96886                         1.92042                         1.86821                         1.82930                         1.82009                         1.84609                         1.76719                         2.00531                                 0.72182             
1994    2.06333                 1.98794                         2.03567                         2.05948                         2.06333                         2.00996                         1.94272                         1.89136                         1.84008                         1.79063                         1.75586                         1.73635                         2.06333                                 0.73242             
1995    2.24827                 2.14961                         2.19652                         2.22902                         2.24827                         2.23385                         2.19133                         2.14153                         2.08798                         2.04828                         2.03502                         1.94097                         2.21397                                 0.81723             
1996    2.00879                 1.96326                         1.99782                         2.00879                         1.98411                         1.93387                         1.88801                         1.84595                         1.81028                         1.79823                         1.82628                         1.73690                         1.98411                                 0.72080             
1997    2.03461                 1.98250                         2.01754                         2.03253                         2.03461                         2.00461                         1.96627                         1.92327                         1.88360                         1.86483                         1.87471                         1.78797                         2.03461                                 0.80236             
1998    2.69618                 2.31111                         2.42140                         2.51888                         2.64038                         2.68657                         2.69618                         2.65693                         2.57609                         2.49278                         2.45181                         2.26894                         2.37404                                 0.91263             
1999    2.24752                 2.13008                         2.19023                         2.22772                         2.24752                         2.20217                         2.12986                         2.06406                         1.98254                         1.91178                         1.88631                         1.86046                         2.23559                                 0.77755             
2000    2.15100                 2.08053                         2.12694                         2.15100                         2.15002                         2.09572                         2.02416                         1.96008                         1.90451                         1.87630                         1.90166                         1.81935                         2.14223                                 0.77077             
2001    2.22019                 2.13883                         2.18879                         2.22019                         2.21943                         2.15061                         2.06382                         1.99404                         1.93270                         1.88513                         1.85557                         1.82888                         2.21943                                 0.78532             
2002    2.32907                 2.22399                         2.28578                         2.32251                         2.32907                         2.26532                         2.18071                         2.10951                         2.04995                         1.98453                         1.92182                         1.92251                         2.32907                                 0.84100             
2003    2.37909                 2.23279                         2.29493                         2.33180                         2.37909                         2.36474                         2.30868                         2.24837                         2.18656                         2.12098                         2.08061                         2.01560                         2.34289                                 0.83481             
2004    2.18817                 2.11540                         2.16517                         2.18817                         2.17628                         2.12933                         2.06979                         2.02445                         1.97742                         1.92473                         1.91228                         1.87222                         2.17628                                 0.80443             
