year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1980    1.93873                 1.84670                         1.89054                         1.91887                         1.93873                         1.92843                         1.90295                         1.89302                         1.90053                         1.90632                         1.88959                         1.75456                         1.93336                                 0.74739             
1981    1.93728                 1.81136                         1.85991                         1.89755                         1.93213                         1.93155                         1.91524                         1.91605                         1.93071                         1.93728                         1.91808                         1.74253                         1.93213                                 0.74286             
1982    2.00102                 1.90395                         1.95203                         1.97897                         2.00102                         1.98177                         1.94966                         1.92938                         1.91423                         1.89786                         1.87846                         1.77557                         2.00102                                 0.79034             
1983    2.55038                 2.30907                         2.40569                         2.48023                         2.55038                         2.55012                         2.50120                         2.44582                         2.39775                         2.34898                         2.28819                         2.17960                         2.34947                                 0.94818             
1984    2.14410                 2.00855                         2.06940                         2.10830                         2.14410                         2.13811                         2.10924                         2.08678                         2.06771                         2.04430                         2.00477                         1.89266                         2.14410                                 0.78371             
1985    2.07252                 1.95850                         2.01106                         2.04183                         2.07252                         2.04928                         2.01116                         1.97943                         1.94967                         1.92130                         1.89275                         1.80672                         2.07252                                 0.78264             
1986    1.98379                 1.87990                         1.92731                         1.95660                         1.98379                         1.97775                         1.96283                         1.96558                         1.97770                         1.97735                         1.95805                         1.78952                         1.98379                                 0.76809             
1987    2.25245                 2.10413                         2.17194                         2.21419                         2.25245                         2.23793                         2.19926                         2.16591                         2.13196                         2.08872                         2.03800                         1.94201                         2.24067                                 0.84484             
1988    2.11715                 2.01221                         2.06845                         2.10012                         2.11715                         2.09206                         2.03876                         1.99979                         1.97659                         1.94055                         1.88366                         1.81437                         2.11196                                 0.80712             
1989    2.12646                 1.98512                         2.05004                         2.09073                         2.12646                         2.10916                         2.07010                         2.04181                         2.01732                         1.99088                         1.95993                         1.83720                         2.12646                                 0.83352             
1990    1.98243                 1.86922                         1.92059                         1.95683                         1.98243                         1.98070                         1.96723                         1.95868                         1.94308                         1.90924                         1.86461                         1.75466                         1.97755                                 0.82128             
1991    2.10455                 1.98279                         2.04192                         2.07641                         2.10455                         2.09831                         2.07475                         2.04797                         2.02486                         1.98330                         1.92865                         1.83966                         2.10455                                 0.82807             
1992    2.18326                 2.01099                         2.08541                         2.13246                         2.18326                         2.16711                         2.13265                         2.09516                         2.04974                         1.98873                         1.91712                         1.85619                         2.11196                                 0.81852             
1993    2.05015                 1.96719                         2.01483                         2.04480                         2.05015                         2.02104                         1.96416                         1.91179                         1.86516                         1.83754                         1.82127                         1.76525                         2.05015                                 0.74388             
1994    2.11150                 2.00870                         2.06365                         2.09415                         2.11150                         2.07584                         2.01636                         1.96597                         1.91030                         1.84582                         1.77992                         1.77377                         2.11150                                 0.78226             
1995    2.21532                 2.11093                         2.15946                         2.19671                         2.21532                         2.19971                         2.17265                         2.14962                         2.12760                         2.10803                         2.08769                         1.94820                         2.18007                                 0.81713             
1996    1.86744                 1.80560                         1.84639                         1.86685                         1.86744                         1.84829                         1.81643                         1.79657                         1.77922                         1.77019                         1.76405                         1.65943                         1.86630                                 0.70518             
1997    1.88819                 1.83350                         1.87142                         1.88819                         1.88633                         1.86256                         1.84120                         1.83281                         1.83188                         1.83928                         1.84883                         1.71260                         1.88261                                 0.77514             
1998    2.28279                 2.04017                         2.11353                         2.17650                         2.24956                         2.28279                         2.26791                         2.24095                         2.19666                         2.13708                         2.07421                         1.93967                         2.04395                                 0.82005             
1999    2.08166                 1.95919                         2.01295                         2.04745                         2.08166                         2.07392                         2.06442                         2.05835                         2.03967                         1.98530                         1.90617                         1.81060                         2.06456                                 0.75999             
2000    2.05324                 1.94732                         2.00320                         2.03614                         2.05324                         2.02474                         1.99036                         1.95491                         1.91370                         1.87453                         1.84602                         1.75966                         2.04235                                 0.73124             
2001    2.06267                 1.97278                         2.02205                         2.05322                         2.06267                         2.01949                         1.96289                         1.91969                         1.87666                         1.83139                         1.78348                         1.72674                         2.06267                                 0.73649             
2002    2.14885                 2.05780                         2.10526                         2.13390                         2.14885                         2.11902                         2.08263                         2.04956                         2.01439                         1.95903                         1.87478                         1.82366                         2.14885                                 0.78346             
2003    2.21686                 2.09528                         2.15113                         2.18036                         2.21686                         2.20388                         2.15888                         2.10261                         2.03831                         1.96124                         1.87845                         1.84629                         2.18530                                 0.77207             
2004    2.04733                 1.97903                         2.02515                         2.04733                         2.04692                         2.02053                         1.98122                         1.96414                         1.94660                         1.92844                         1.91372                         1.79509                         2.04423                                 0.76716             
2005    2.02579                 1.98674                         2.02071                         2.02579                         1.99886                         1.93708                         1.87073                         1.82080                         1.79446                         1.77376                         1.76275                         1.71120                         1.99886                                 0.71345             
2006    2.18368                 2.10804                         2.16039                         2.18368                         2.17096                         2.12236                         2.04963                         1.98250                         1.91517                         1.85013                         1.79325                         1.80200                         2.16869                                 0.75967             
2007    2.46110                 2.36427                         2.42587                         2.45613                         2.46110                         2.39327                         2.30412                         2.22147                         2.13684                         2.03932                         1.94697                         1.99426                         2.43855                                 0.81288             
2008    2.24536                 2.13451                         2.19671                         2.23117                         2.24536                         2.21147                         2.14664                         2.09055                         2.04307                         2.00611                         1.98327                         1.90914                         2.24536                                 0.81301             
2009    2.21147                 2.11652                         2.17418                         2.20460                         2.21147                         2.18714                         2.13709                         2.09224                         2.03793                         1.96633                         1.88527                         1.87130                         2.21031                                 0.78869             
2010    2.29941                 2.13498                         2.20675                         2.24932                         2.29941                         2.29508                         2.26140                         2.21191                         2.15818                         2.09678                         2.04162                         1.96189                         2.27350                                 0.81715             
2011    1.86200                 1.80834                         1.84701                         1.86200                         1.85199                         1.81158                         1.77231                         1.75307                         1.75237                         1.75093                         1.75613                         1.65895                         1.81342                                 0.71679             
2012    2.24395                 2.10383                         2.17289                         2.21526                         2.24395                         2.22539                         2.17902                         2.13602                         2.08755                         2.04331                         2.01502                         1.91704                         2.24395                                 0.81936             
2013    2.31500                 2.21357                         2.27308                         2.30324                         2.31500                         2.26460                         2.18608                         2.11740                         2.06542                         2.02717                         1.99931                         1.94615                         2.31500                                 0.82676             
2014    2.16288                 2.09136                         2.14102                         2.16288                         2.16179                         2.12095                         2.06481                         2.02060                         1.98354                         1.95697                         1.94036                         1.87026                         2.16179                                 0.79931             
2015    2.18051                 2.07952                         2.14078                         2.17260                         2.18051                         2.12968                         2.05110                         1.98081                         1.92376                         1.89102                         1.88445                         1.83678                         2.18051                                 0.77704             
2016    2.61008                 2.41434                         2.50587                         2.56380                         2.61008                         2.57911                         2.49064                         2.38736                         2.27802                         2.16577                         2.07773                         2.10647                         2.55426                                 0.90739             
2017    2.12742                 2.04900                         2.10232                         2.12742                         2.11856                         2.05592                         1.97267                         1.89758                         1.83584                         1.78065                         1.74753                         1.76068                         2.10046                                 0.74818             
2018    2.04509                 1.98070                         2.02653                         2.04509                         2.02854                         1.96469                         1.88710                         1.80559                         1.72803                         1.66410                         1.63598                         1.67446                         1.97939                                 0.75319             
