year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.76028                 0.64916                         0.67096                         0.68786                         0.70772                         0.71485                         0.71828                         0.72459                         0.72832                         0.73336                         0.74607                         0.66917                         0.70660                                 0.33666             
1980    0.81449                 0.64217                         0.66610                         0.68631                         0.71632                         0.73090                         0.73839                         0.75015                         0.76257                         0.77550                         0.79636                         0.69542                         0.71632                                 0.33332             
1981    0.72982                 0.61135                         0.62932                         0.64549                         0.66999                         0.68606                         0.69956                         0.71144                         0.72085                         0.72928                         0.72982                         0.64389                         0.65338                                 0.31831             
1982    0.76139                 0.70193                         0.72183                         0.73763                         0.75739                         0.76139                         0.75631                         0.74955                         0.74062                         0.73623                         0.73943                         0.69395                         0.75739                                 0.32668             
1983    0.76774                 0.70920                         0.72698                         0.73940                         0.74935                         0.74227                         0.73170                         0.72792                         0.72573                         0.73134                         0.74944                         0.69322                         0.70920                                 0.30728             
1984    0.74349                 0.68039                         0.70335                         0.72122                         0.74171                         0.74349                         0.73620                         0.72944                         0.72338                         0.72471                         0.72717                         0.67472                         0.72889                                 0.31471             
1985    0.72935                 0.66828                         0.68843                         0.70529                         0.72625                         0.72935                         0.72265                         0.71820                         0.71448                         0.71237                         0.70822                         0.65903                         0.72601                                 0.31382             
1986    0.76729                 0.71561                         0.73718                         0.75282                         0.76729                         0.76169                         0.74731                         0.73646                         0.73253                         0.74030                         0.75426                         0.69375                         0.75827                                 0.32586             
1987    0.83062                 0.77713                         0.79991                         0.81586                         0.83062                         0.82764                         0.81910                         0.81328                         0.80974                         0.81264                         0.82354                         0.76228                         0.80698                                 0.35920             
1988    0.78158                 0.71214                         0.73642                         0.75494                         0.77789                         0.78158                         0.77417                         0.76994                         0.76928                         0.76997                         0.77089                         0.71120                         0.77717                                 0.33007             
1989    0.80258                 0.67034                         0.69621                         0.71720                         0.74527                         0.75787                         0.76465                         0.77326                         0.78248                         0.79185                         0.79633                         0.70989                         0.73966                                 0.34725             
1990    0.79777                 0.72914                         0.75269                         0.77149                         0.79324                         0.79777                         0.79539                         0.79307                         0.78911                         0.78277                         0.77652                         0.72099                         0.78242                                 0.35898             
1991    0.80535                 0.70978                         0.73667                         0.75914                         0.79057                         0.80378                         0.80535                         0.80469                         0.80292                         0.79488                         0.78602                         0.72263                         0.78645                                 0.35437             
1992    0.73962                 0.64899                         0.66985                         0.68641                         0.70653                         0.71105                         0.71141                         0.71290                         0.71415                         0.71828                         0.73133                         0.66194                         0.70653                                 0.33183             
1993    0.80082                 0.72788                         0.75207                         0.77092                         0.79495                         0.80082                         0.79668                         0.79252                         0.78756                         0.78734                         0.79653                         0.72645                         0.78666                                 0.34544             
1994    0.75388                 0.64405                         0.66488                         0.68188                         0.70488                         0.71466                         0.72096                         0.72795                         0.73133                         0.73350                         0.74088                         0.66911                         0.70463                                 0.33683             
1995    0.78112                 0.67303                         0.69339                         0.70876                         0.72712                         0.73205                         0.73545                         0.74226                         0.74527                         0.74728                         0.75974                         0.68525                         0.72381                                 0.34530             
1996    0.78240                 0.71638                         0.73741                         0.75442                         0.77577                         0.77915                         0.77155                         0.76688                         0.76314                         0.76179                         0.76887                         0.71065                         0.77577                                 0.34753             
1997    0.89758                 0.80576                         0.83725                         0.86321                         0.89382                         0.89758                         0.88597                         0.87157                         0.86116                         0.86142                         0.87710                         0.80065                         0.87909                                 0.37696             
1998    0.86855                 0.80378                         0.83130                         0.85114                         0.86855                         0.85789                         0.83164                         0.81096                         0.80119                         0.80357                         0.82260                         0.76365                         0.82716                                 0.34607             
1999    0.81912                 0.74215                         0.77005                         0.79252                         0.81912                         0.81468                         0.79560                         0.77590                         0.75806                         0.74309                         0.73538                         0.70646                         0.81481                                 0.35381             
2000    0.90681                 0.82876                         0.86042                         0.88374                         0.90681                         0.90114                         0.87981                         0.86084                         0.84943                         0.84491                         0.84519                         0.79479                         0.90533                                 0.37876             
2001    0.87722                 0.78939                         0.82437                         0.85118                         0.87722                         0.86472                         0.83331                         0.80546                         0.78467                         0.77067                         0.76728                         0.73841                         0.87480                                 0.37296             
2002    0.96638                 0.88702                         0.92011                         0.94426                         0.96638                         0.95381                         0.92528                         0.90280                         0.88754                         0.87644                         0.87175                         0.82849                         0.96033                                 0.40756             
2003    0.84825                 0.77582                         0.80568                         0.82764                         0.84825                         0.84585                         0.83459                         0.82495                         0.81829                         0.81391                         0.81396                         0.74982                         0.84703                                 0.37716             
2004    0.87875                 0.80789                         0.83774                         0.85872                         0.87875                         0.87349                         0.85451                         0.83590                         0.82068                         0.80984                         0.80870                         0.76298                         0.86773                                 0.38713             
2005    0.79364                 0.73676                         0.76277                         0.78000                         0.79364                         0.79135                         0.77918                         0.76668                         0.75397                         0.74327                         0.74117                         0.69609                         0.79364                                 0.34868             
2006    0.84497                 0.77634                         0.80503                         0.82567                         0.84497                         0.83974                         0.82282                         0.80681                         0.79436                         0.78757                         0.78387                         0.73857                         0.84047                                 0.37382             
2007    0.84642                 0.77760                         0.80721                         0.82836                         0.84642                         0.83969                         0.82306                         0.81008                         0.80330                         0.79886                         0.79572                         0.74073                         0.84642                                 0.37491             
2008    0.82507                 0.75808                         0.78518                         0.80364                         0.82359                         0.82507                         0.81547                         0.80568                         0.80213                         0.80521                         0.81420                         0.73936                         0.82359                                 0.37243             
2009    0.84801                 0.77356                         0.80420                         0.82649                         0.84801                         0.84533                         0.83404                         0.82753                         0.82216                         0.81917                         0.81953                         0.75527                         0.84801                                 0.38121             
2010    0.76285                 0.72437                         0.74481                         0.75663                         0.76285                         0.74997                         0.73594                         0.72785                         0.72561                         0.72450                         0.72465                         0.67949                         0.76285                                 0.34665             
2011    0.84364                 0.79881                         0.82317                         0.83734                         0.84364                         0.83100                         0.81525                         0.80260                         0.79091                         0.78168                         0.77857                         0.73925                         0.83985                                 0.38343             
2012    0.76428                 0.71407                         0.73670                         0.75257                         0.76428                         0.75349                         0.74001                         0.73802                         0.73827                         0.73866                         0.74684                         0.68422                         0.76040                                 0.34878             
2013    0.79871                 0.75986                         0.78146                         0.79421                         0.79871                         0.78664                         0.77090                         0.76186                         0.75603                         0.75315                         0.75838                         0.71180                         0.79871                                 0.36868             
2014    0.83145                 0.73180                         0.76021                         0.78133                         0.80378                         0.80444                         0.80166                         0.79982                         0.79963                         0.80387                         0.81839                         0.73473                         0.80378                                 0.38070             
2015    0.85639                 0.80378                         0.82752                         0.84330                         0.85639                         0.85042                         0.83581                         0.82802                         0.82174                         0.81352                         0.80584                         0.75826                         0.85639                                 0.38067             
2016    0.76246                 0.69510                         0.71795                         0.73420                         0.75374                         0.75568                         0.75723                         0.76246                         0.76202                         0.75694                         0.74929                         0.68471                         0.75374                                 0.34630             
2017    0.75922                 0.67676                         0.69509                         0.70590                         0.71247                         0.70802                         0.70525                         0.71291                         0.72124                         0.72890                         0.74587                         0.66770                         0.71183                                 0.33888             
2018    0.77924                 0.67893                         0.70023                         0.71523                         0.73023                         0.73673                         0.74350                         0.75419                         0.76079                         0.76945                         0.77707                         0.69130                         0.72233                                 0.35857             
