year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.84362                 0.74871                         0.76390                         0.77299                         0.80053                         0.82176                         0.83636                         0.84362                         0.83982                         0.82783                         0.81054                         0.75235                         0.82822                                 0.36974             
1980    0.84454                 0.68431                         0.71434                         0.74202                         0.78604                         0.81182                         0.83037                         0.84330                         0.84454                         0.83874                         0.82907                         0.74016                         0.82757                                 0.38335             
1981    0.83069                 0.69034                         0.70784                         0.72240                         0.76496                         0.79624                         0.81728                         0.83037                         0.83069                         0.81975                         0.80330                         0.72126                         0.81185                                 0.37946             
1982    0.92175                 0.76739                         0.80074                         0.83123                         0.88065                         0.90946                         0.92175                         0.92155                         0.90554                         0.87845                         0.84964                         0.79962                         0.92175                                 0.39434             
1983    0.89618                 0.75420                         0.78563                         0.81336                         0.85625                         0.87960                         0.89077                         0.89618                         0.89310                         0.88577                         0.87797                         0.79647                         0.87979                                 0.37134             
1984    0.83824                 0.71882                         0.73352                         0.74854                         0.79416                         0.82058                         0.83361                         0.83824                         0.83317                         0.82720                         0.81975                         0.74919                         0.83361                                 0.36273             
1985    0.79551                 0.72064                         0.73547                         0.74491                         0.76294                         0.78371                         0.79360                         0.79551                         0.78668                         0.77083                         0.75014                         0.70916                         0.78599                                 0.35498             
1986    0.83644                 0.72237                         0.73542                         0.75475                         0.79029                         0.80813                         0.81685                         0.82470                         0.83088                         0.83549                         0.83644                         0.74826                         0.81685                                 0.37280             
1987    0.83723                 0.72853                         0.75641                         0.78046                         0.81450                         0.82955                         0.83492                         0.83723                         0.83433                         0.82581                         0.81084                         0.74390                         0.82883                                 0.37889             
1988    0.81307                 0.68571                         0.71033                         0.73888                         0.78158                         0.80273                         0.81014                         0.81307                         0.80780                         0.79536                         0.77281                         0.71256                         0.81014                                 0.36580             
1989    0.82623                 0.74334                         0.76387                         0.77792                         0.79244                         0.80567                         0.81866                         0.82623                         0.82564                         0.81647                         0.79792                         0.73515                         0.81003                                 0.38594             
1990    0.87871                 0.77610                         0.79847                         0.81385                         0.83954                         0.86302                         0.87540                         0.87871                         0.87121                         0.85376                         0.82378                         0.76111                         0.86202                                 0.40068             
