year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -1.27696                -1.23160                        -1.26138                        -1.27696                        -1.27619                        -1.23973                        -1.18937                        -1.14425                        -1.10411                        -1.05768                        -1.00440                        -1.06661                        -1.27619                                -0.55503            
1980    -1.19188                -1.18644                        -1.18143                        -1.18535                        -1.16432                        -1.11085                        -1.05167                        -1.00579                        -0.96868                        -0.92929                        -0.88665                        -0.97161                        -1.15171                                -0.54812            
1981    -1.27552                -1.24158                        -1.26801                        -1.27552                        -1.25540                        -1.21328                        -1.16645                        -1.11881                        -1.06943                        -1.02703                        -1.00587                        -1.04912                        -1.25540                                -0.55131            
1982    -1.27322                -1.21592                        -1.25081                        -1.27322                        -1.27013                        -1.22257                        -1.15990                        -1.11969                        -1.08356                        -1.02925                        -0.97864                        -1.04513                        -1.26856                                -0.55472            
1983    -1.25134                -1.22176                        -1.24466                        -1.25134                        -1.23252                        -1.19594                        -1.15596                        -1.12070                        -1.08229                        -1.03773                        -0.99443                        -1.03661                        -1.21082                                -0.56804            
1984    -1.07815                -1.02332                        -1.05686                        -1.07536                        -1.07815                        -1.05525                        -1.02602                        -0.99655                        -0.97072                        -0.95157                        -0.93366                        -0.93239                        -1.05887                                -0.49470            
1985    -1.24006                -1.15750                        -1.20284                        -1.23399                        -1.24006                        -1.19762                        -1.15116                        -1.10030                        -1.04206                        -0.97958                        -0.92803                        -0.99137                        -1.23385                                -0.51699            
1986    -1.42231                -1.32126                        -1.37609                        -1.40980                        -1.42231                        -1.39300                        -1.35513                        -1.32262                        -1.28726                        -1.23726                        -1.18423                        -1.18484                        -1.42231                                -0.59585            
1987    -1.33262                -1.24480                        -1.28686                        -1.31436                        -1.33262                        -1.31790                        -1.27982                        -1.22981                        -1.18217                        -1.14621                        -1.11756                        -1.12890                        -1.33262                                -0.57105            
1988    -1.18319                -1.17299                        -1.15994                        -1.16483                        -1.18319                        -1.17355                        -1.15521                        -1.13040                        -1.09910                        -1.06798                        -1.03884                        -1.04755                        -1.17651                                -0.57044            
1989    -1.21670                -1.14135                        -1.16638                        -1.18845                        -1.21670                        -1.21414                        -1.18958                        -1.16140                        -1.12431                        -1.07956                        -1.05302                        -1.04976                        -1.21242                                -0.54376            
1990    -1.37399                -1.29916                        -1.32722                        -1.36001                        -1.37399                        -1.32359                        -1.25432                        -1.21540                        -1.18217                        -1.14026                        -1.11362                        -1.13425                        -1.34791                                -0.59504            
1991    -1.18945                -1.08899                        -1.13343                        -1.16429                        -1.18945                        -1.16647                        -1.12829                        -1.09430                        -1.05823                        -1.01720                        -0.97908                        -0.98192                        -1.18563                                -0.53246            
1992    -1.08930                -1.03056                        -1.05978                        -1.07886                        -1.08930                        -1.07325                        -1.05161                        -1.03592                        -1.01741                        -1.00735                        -1.01931                        -0.96647                        -1.04745                                -0.50122            
1993    -1.25887                -1.12867                        -1.18318                        -1.22329                        -1.25887                        -1.25278                        -1.23215                        -1.21315                        -1.18770                        -1.15859                        -1.13912                        -1.07004                        -1.25837                                -0.54903            
1994    -1.33602                -1.14895                        -1.21434                        -1.26879                        -1.33143                        -1.33602                        -1.31692                        -1.29641                        -1.25743                        -1.19918                        -1.16526                        -1.13726                        -1.31964                                -0.58573            
