year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -1.40164                -1.23944                        -1.29323                        -1.33332                        -1.38125                        -1.39754                        -1.40084                        -1.40164                        -1.38991                        -1.36197                        -1.31083                        -1.21848                        -1.39754                                -0.61131            
1980    -1.34892                -1.27892                        -1.27765                        -1.30439                        -1.33454                        -1.34372                        -1.34892                        -1.34296                        -1.31774                        -1.27431                        -1.20856                        -1.17327                        -1.34343                                -0.61015            
1981    -1.37967                -1.27799                        -1.32092                        -1.34993                        -1.37797                        -1.37967                        -1.37539                        -1.36119                        -1.32802                        -1.28136                        -1.22700                        -1.18894                        -1.36492                                -0.59795            
1982    -1.31814                -1.22215                        -1.26207                        -1.28831                        -1.31008                        -1.30690                        -1.30611                        -1.31520                        -1.31814                        -1.30395                        -1.26875                        -1.18134                        -1.30690                                -0.59152            
1983    -1.33846                -1.24585                        -1.28012                        -1.30306                        -1.32725                        -1.33315                        -1.33652                        -1.33846                        -1.32043                        -1.28379                        -1.23504                        -1.16672                        -1.30314                                -0.60019            
1984    -1.14944                -1.07023                        -1.10456                        -1.12767                        -1.14768                        -1.14607                        -1.14375                        -1.14944                        -1.14837                        -1.13501                        -1.10312                        -1.02823                        -1.11130                                -0.51377            
1985    -1.20079                -1.11655                        -1.15397                        -1.17818                        -1.20079                        -1.20025                        -1.19527                        -1.18344                        -1.15038                        -1.10080                        -1.04787                        -1.03660                        -1.19443                                -0.51677            
1986    -1.48732                -1.31910                        -1.37532                        -1.41553                        -1.46044                        -1.47583                        -1.48334                        -1.48732                        -1.47117                        -1.42984                        -1.36457                        -1.27071                        -1.47583                                -0.61675            
1987    -1.50449                -1.34125                        -1.39902                        -1.44195                        -1.48906                        -1.50113                        -1.50449                        -1.50177                        -1.48267                        -1.43892                        -1.36446                        -1.28276                        -1.50113                                -0.63830            
1988    -1.38544                -1.22431                        -1.27724                        -1.31645                        -1.36454                        -1.38170                        -1.38544                        -1.37955                        -1.35605                        -1.31761                        -1.27056                        -1.21110                        -1.35820                                -0.61998            
