year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -1.03201                -0.96322                        -1.00035                        -1.02383                        -1.03201                        -0.99953                        -0.95475                        -0.91718                        -0.88172                        -0.85474                        -0.83257                        -0.84409                        -0.99586                                -0.39143            
1980    -1.10960                -1.05048                        -1.08653                        -1.10667                        -1.10960                        -1.07615                        -1.02463                        -0.97368                        -0.93010                        -0.89111                        -0.85873                        -0.90439                        -1.10960                                -0.43480            
1981    -1.05115                -0.99361                        -1.02563                        -1.04393                        -1.05115                        -1.03173                        -0.99494                        -0.94862                        -0.90038                        -0.86133                        -0.83689                        -0.88048                        -1.05044                                -0.39536            
1982    -1.13863                -1.08228                        -1.11700                        -1.13667                        -1.13863                        -1.10320                        -1.05220                        -1.00077                        -0.95095                        -0.90410                        -0.86323                        -0.92463                        -1.11828                                -0.43080            
1983    -1.11658                -1.08451                        -1.10699                        -1.11658                        -1.11204                        -1.08966                        -1.05718                        -1.02029                        -0.98249                        -0.94568                        -0.90384                        -0.93926                        -1.06405                                -0.45897            
1984    -1.05913                -0.97681                        -1.01298                        -1.03729                        -1.05913                        -1.05448                        -1.03602                        -1.01598                        -0.99568                        -0.97212                        -0.93885                        -0.90725                        -1.03354                                -0.42765            
1985    -0.98175                -0.93766                        -0.96185                        -0.97776                        -0.98175                        -0.95833                        -0.92243                        -0.87955                        -0.83919                        -0.80908                        -0.78723                        -0.81647                        -0.97379                                -0.37089            
1986    -1.03439                -0.97524                        -1.00640                        -1.02548                        -1.03439                        -1.01329                        -0.97645                        -0.93665                        -0.89568                        -0.85994                        -0.83085                        -0.86136                        -1.03323                                -0.41012            
1987    -1.06521                -0.98273                        -1.02087                        -1.04821                        -1.06521                        -1.03956                        -0.99225                        -0.93880                        -0.89046                        -0.85348                        -0.82212                        -0.86352                        -1.06521                                -0.42819            
1988    -0.91217                -0.85238                        -0.87875                        -0.89712                        -0.91217                        -0.90191                        -0.87952                        -0.85461                        -0.83070                        -0.80763                        -0.78192                        -0.77819                        -0.88776                                -0.37600            
1989    -1.03577                -0.98615                        -1.01392                        -1.03079                        -1.03577                        -1.01755                        -0.99027                        -0.96606                        -0.94009                        -0.91492                        -0.88823                        -0.87842                        -0.98388                                -0.39859            
1990    -1.06740                -0.99974                        -1.03138                        -1.05262                        -1.06740                        -1.05089                        -1.01641                        -0.97720                        -0.94057                        -0.91464                        -0.89834                        -0.90369                        -1.06740                                -0.42448            
1991    -0.96215                -0.88309                        -0.92018                        -0.94567                        -0.96215                        -0.93964                        -0.90356                        -0.87188                        -0.85203                        -0.83849                        -0.81932                        -0.81161                        -0.92876                                -0.39284            
1992    -1.09594                -1.01620                        -1.05053                        -1.07456                        -1.09594                        -1.08778                        -1.06047                        -1.02358                        -0.98657                        -0.95406                        -0.92111                        -0.92868                        -1.09594                                -0.43818            
1993    -1.08526                -0.99909                        -1.03781                        -1.06468                        -1.08526                        -1.07785                        -1.06167                        -1.04358                        -1.02389                        -1.00135                        -0.97651                        -0.94271                        -1.08326                                -0.42475            
1994    -1.04665                -0.93202                        -0.97488                        -1.00913                        -1.04562                        -1.04665                        -1.02978                        -1.00611                        -0.98503                        -0.96803                        -0.95571                        -0.90941                        -1.04353                                -0.42724            
1995    -0.97560                -0.89724                        -0.92942                        -0.95342                        -0.97560                        -0.97366                        -0.96308                        -0.95107                        -0.93796                        -0.92826                        -0.92491                        -0.87061                        -0.97560                                -0.40182            
1996    -1.04485                -0.99944                        -1.02444                        -1.03857                        -1.04485                        -1.03176                        -1.00806                        -0.98059                        -0.95588                        -0.93760                        -0.93167                        -0.90456                        -1.02788                                -0.42598            
