year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -0.97230                -0.88821                        -0.92272                        -0.94774                        -0.97230                        -0.96813                        -0.95370                        -0.94884                        -0.95003                        -0.94617                        -0.92581                        -0.86062                        -0.94322                                -0.40672            
1980    -1.21612                -1.10132                        -1.14754                        -1.18089                        -1.21612                        -1.21308                        -1.19017                        -1.16876                        -1.14030                        -1.10045                        -1.04481                        -1.02191                        -1.20447                                -0.50358            
1981    -1.12398                -1.02323                        -1.06512                        -1.09576                        -1.12398                        -1.11127                        -1.08239                        -1.05633                        -1.03027                        -0.99667                        -0.95711                        -0.94643                        -1.07380                                -0.45216            
1982    -1.22562                -1.11603                        -1.16004                        -1.19167                        -1.22562                        -1.22368                        -1.20352                        -1.18580                        -1.16881                        -1.14206                        -1.09592                        -1.05125                        -1.18845                                -0.50596            
1983    -1.16507                -1.07286                        -1.09767                        -1.11511                        -1.13771                        -1.14694                        -1.15194                        -1.16044                        -1.16507                        -1.15065                        -1.10707                        -1.03275                        -1.11838                                -0.51419            
1984    -1.17372                -1.02180                        -1.06258                        -1.09333                        -1.13197                        -1.14544                        -1.14988                        -1.16166                        -1.17372                        -1.16447                        -1.12631                        -1.01721                        -1.12280                                -0.49467            
1985    -1.00951                -0.97183                        -0.99359                        -1.00604                        -1.00951                        -0.99157                        -0.96912                        -0.95398                        -0.94440                        -0.93471                        -0.91301                        -0.87725                        -1.00951                                -0.38760            
1986    -1.02156                -0.96757                        -0.99437                        -1.01167                        -1.02156                        -1.00737                        -0.99285                        -0.99478                        -1.00532                        -1.00946                        -0.99684                        -0.91652                        -1.02156                                -0.44441            
1987    -1.09373                -1.01285                        -1.04817                        -1.07271                        -1.09373                        -1.08560                        -1.06807                        -1.05517                        -1.04252                        -1.01918                        -0.97963                        -0.93751                        -1.09373                                -0.45285            
1988    -1.01060                -0.93054                        -0.95869                        -0.98033                        -1.00283                        -1.00366                        -0.99907                        -1.00340                        -1.01060                        -1.00161                        -0.96471                        -0.89296                        -1.00283                                -0.42026            
1989    -1.12164                -1.03975                        -1.07629                        -1.10092                        -1.12164                        -1.11334                        -1.09471                        -1.08103                        -1.07067                        -1.05542                        -1.02561                        -0.96420                        -1.11708                                -0.44233            
1990    -1.23265                -1.10221                        -1.14785                        -1.18317                        -1.22551                        -1.23265                        -1.21858                        -1.19940                        -1.17456                        -1.13641                        -1.07837                        -1.03194                        -1.21741                                -0.47335            
1991    -1.15321                -1.05041                        -1.09166                        -1.12219                        -1.15321                        -1.14882                        -1.12797                        -1.11518                        -1.10325                        -1.08176                        -1.04302                        -0.99609                        -1.12877                                -0.47504            
1992    -1.22034                -1.11397                        -1.15313                        -1.18392                        -1.22034                        -1.21990                        -1.19998                        -1.17953                        -1.15686                        -1.12008                        -1.06613                        -1.03523                        -1.21530                                -0.47147            
1993    -1.21170                -1.09601                        -1.14045                        -1.17350                        -1.20975                        -1.21170                        -1.19672                        -1.17724                        -1.15083                        -1.11158                        -1.06138                        -1.03247                        -1.19967                                -0.46643            
1994    -1.14857                -1.05080                        -1.09102                        -1.12000                        -1.14857                        -1.14680                        -1.13185                        -1.11666                        -1.09715                        -1.06621                        -1.02607                        -0.98492                        -1.14857                                -0.46628            
1995    -1.03045                -0.90738                        -0.93862                        -0.96196                        -0.99186                        -1.00649                        -1.01741                        -1.02834                        -1.03045                        -1.01930                        -0.99836                        -0.90956                        -0.99186                                -0.42797            
1996    -1.05210                -0.99142                        -1.01943                        -1.03759                        -1.05210                        -1.04448                        -1.03100                        -1.02172                        -1.00997                        -0.99198                        -0.97330                        -0.92652                        -1.05210                                -0.43666            
1997    -1.01205                -0.95284                        -0.98125                        -0.99955                        -1.01205                        -0.99553                        -0.96913                        -0.95197                        -0.94046                        -0.92880                        -0.90994                        -0.88398                        -1.00972                                -0.42654            
1998    -1.06922                -1.04659                        -1.06323                        -1.06922                        -1.06293                        -1.04259                        -1.02156                        -1.00687                        -0.99076                        -0.95933                        -0.90761                        -0.91426                        -1.05804                                -0.45305            
1999    -1.10747                -1.02565                        -1.06145                        -1.08537                        -1.10655                        -1.10747                        -1.10294                        -1.10102                        -1.08514                        -1.05032                        -1.00207                        -0.94545                        -1.10580                                -0.44444            
2000    -1.11425                -0.99583                        -1.02976                        -1.05356                        -1.07923                        -1.08920                        -1.09865                        -1.11334                        -1.11425                        -1.08824                        -1.03625                        -0.94623                        -1.06060                                -0.45355            
2001    -1.06593                -1.00833                        -1.03867                        -1.05695                        -1.06593                        -1.04963                        -1.03133                        -1.02419                        -1.01617                        -0.99819                        -0.96748                        -0.91645                        -1.06593                                -0.42619            
2002    -1.04402                -0.96740                        -1.00163                        -1.02455                        -1.04402                        -1.03824                        -1.02566                        -1.01595                        -0.99729                        -0.96079                        -0.91121                        -0.88817                        -1.04402                                -0.43596            
2003    -1.01805                -0.93591                        -0.97218                        -0.99708                        -1.01805                        -1.01030                        -0.99167                        -0.97736                        -0.95485                        -0.91357                        -0.85793                        -0.84940                        -1.01805                                -0.42439            
2004    -1.02221                -1.00018                        -1.01777                        -1.02221                        -1.00646                        -0.97538                        -0.95045                        -0.94123                        -0.92910                        -0.90750                        -0.87942                        -0.87433                        -1.00646                                -0.41585            
2005    -1.00413                -0.97668                        -0.99706                        -1.00413                        -0.99130                        -0.95592                        -0.92056                        -0.89917                        -0.87627                        -0.84355                        -0.80866                        -0.82722                        -0.97640                                -0.40664            
2006    -0.93675                -0.91158                        -0.92978                        -0.93675                        -0.93189                        -0.91503                        -0.89988                        -0.88963                        -0.87554                        -0.84693                        -0.80652                        -0.80300                        -0.92951                                -0.38669            
