year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -2.58771                -2.23631                        -2.36137                        -2.46970                        -2.58771                        -2.57538                        -2.49951                        -2.41686                        -2.34775                        -2.28457                        -2.24408                        -2.14426                        -2.57295                                -0.95132            
1980    -2.65736                -2.33370                        -2.44781                        -2.53756                        -2.64793                        -2.65736                        -2.58529                        -2.49803                        -2.42278                        -2.33557                        -2.26013                        -2.20427                        -2.65657                                -0.98700            
1981    -2.49261                -2.15785                        -2.25996                        -2.34821                        -2.47301                        -2.49261                        -2.44782                        -2.38099                        -2.29903                        -2.21530                        -2.20339                        -2.11593                        -2.47116                                -0.98625            
1982    -2.48858                -2.10916                        -2.23607                        -2.35089                        -2.48478                        -2.48858                        -2.40978                        -2.31250                        -2.21829                        -2.13235                        -2.09701                        -2.04552                        -2.47469                                -0.92292            
1983    -2.51457                -2.23325                        -2.33878                        -2.41469                        -2.51260                        -2.51457                        -2.44372                        -2.36709                        -2.28992                        -2.18306                        -2.07887                        -2.06852                        -2.48452                                -0.89155            
1984    -2.38307                -2.07550                        -2.18869                        -2.26673                        -2.35527                        -2.38307                        -2.33543                        -2.25413                        -2.16343                        -2.06817                        -2.00053                        -1.95319                        -2.37118                                -0.86020            
1985    -2.52891                -2.06603                        -2.20116                        -2.32353                        -2.49776                        -2.52891                        -2.46336                        -2.37750                        -2.29204                        -2.20505                        -2.15130                        -2.05686                        -2.52439                                -0.94135            
1986    -2.42666                -2.08881                        -2.20331                        -2.29971                        -2.41936                        -2.42666                        -2.36486                        -2.29090                        -2.22392                        -2.15958                        -2.12023                        -2.02652                        -2.42218                                -0.90188            
1987    -2.52651                -2.13964                        -2.26104                        -2.35359                        -2.50000                        -2.52651                        -2.47975                        -2.40374                        -2.30689                        -2.19477                        -2.10507                        -2.06317                        -2.52495                                -0.91691            
1988    -2.50990                -2.10496                        -2.21437                        -2.30469                        -2.45731                        -2.50990                        -2.49930                        -2.44829                        -2.36826                        -2.27800                        -2.19151                        -2.06686                        -2.49454                                -0.97941            
1989    -2.42949                -2.03304                        -2.16781                        -2.28121                        -2.41613                        -2.42949                        -2.37627                        -2.30818                        -2.23728                        -2.16800                        -2.13736                        -2.02024                        -2.40526                                -0.91435            
1990    -2.47600                -2.07409                        -2.18994                        -2.28597                        -2.43932                        -2.47600                        -2.42507                        -2.35052                        -2.27449                        -2.19509                        -2.15776                        -2.05098                        -2.47600                                -0.92868            
1991    -2.56247                -2.10171                        -2.23327                        -2.36389                        -2.52818                        -2.56247                        -2.52444                        -2.46644                        -2.39939                        -2.32246                        -2.26335                        -2.10665                        -2.56126                                -0.94002            
1992    -2.37186                -2.06257                        -2.17271                        -2.25852                        -2.35899                        -2.37186                        -2.30643                        -2.23055                        -2.16003                        -2.09561                        -2.06712                        -1.97888                        -2.35591                                -0.90387            
1993    -2.39870                -2.03191                        -2.15283                        -2.25294                        -2.37744                        -2.39870                        -2.33317                        -2.24606                        -2.16960                        -2.09763                        -2.05707                        -1.95022                        -2.38358                                -0.88688            
1994    -2.42092                -2.04283                        -2.16290                        -2.25632                        -2.37689                        -2.42092                        -2.38007                        -2.30849                        -2.21791                        -2.12049                        -2.05248                        -1.98624                        -2.39725                                -0.92086            
1995    -2.51050                -2.10581                        -2.22490                        -2.33744                        -2.47854                        -2.51050                        -2.47708                        -2.40857                        -2.32399                        -2.26893                        -2.27957                        -2.08843                        -2.50713                                -0.96902            
1996    -2.46459                -2.06646                        -2.18728                        -2.28762                        -2.43302                        -2.46459                        -2.40865                        -2.32423                        -2.24482                        -2.20941                        -2.23618                        -2.03517                        -2.46459                                -0.88303            
1997    -2.80535                -2.33065                        -2.48933                        -2.61799                        -2.77689                        -2.80535                        -2.73773                        -2.63537                        -2.54088                        -2.48610                        -2.49018                        -2.32040                        -2.79804                                -0.98379            
1998    -2.42144                -2.15458                        -2.25778                        -2.33893                        -2.42144                        -2.41746                        -2.35598                        -2.26656                        -2.17629                        -2.10522                        -2.05919                        -1.99104                        -2.35405                                -0.91681            
1999    -2.72897                -2.24486                        -2.40277                        -2.54105                        -2.70749                        -2.72897                        -2.66885                        -2.58482                        -2.50874                        -2.47623                        -2.50110                        -2.23835                        -2.72868                                -0.98531            
2000    -2.52819                -2.11210                        -2.23609                        -2.34654                        -2.50146                        -2.52819                        -2.46617                        -2.38674                        -2.32576                        -2.31385                        -2.34982                        -2.09439                        -2.52819                                -0.92947            
2001    -2.60663                -2.20291                        -2.33635                        -2.46066                        -2.60095                        -2.60663                        -2.54107                        -2.45643                        -2.36334                        -2.28613                        -2.27214                        -2.15169                        -2.60663                                -0.95441            
2002    -2.72719                -2.21909                        -2.36482                        -2.50770                        -2.69564                        -2.72719                        -2.64289                        -2.51350                        -2.39666                        -2.31938                        -2.31731                        -2.20480                        -2.72408                                -1.00548            
2003    -2.65822                -2.15005                        -2.30960                        -2.44656                        -2.61801                        -2.65822                        -2.60440                        -2.51220                        -2.42378                        -2.37644                        -2.39351                        -2.18706                        -2.61849                                -0.96620            
2004    -2.60005                -2.16275                        -2.29673                        -2.41641                        -2.57186                        -2.60005                        -2.54359                        -2.46059                        -2.38506                        -2.33340                        -2.32073                        -2.15524                        -2.58302                                -0.97023            
2005    -2.63057                -2.20035                        -2.32766                        -2.44712                        -2.60960                        -2.63057                        -2.56349                        -2.48579                        -2.42143                        -2.36523                        -2.35198                        -2.19143                        -2.63057                                -0.96295            
2006    -2.67367                -2.27120                        -2.39456                        -2.51141                        -2.66055                        -2.67367                        -2.60003                        -2.50142                        -2.40918                        -2.32949                        -2.29810                        -2.18134                        -2.65511                                -0.98253            
2007    -2.61650                -2.13363                        -2.26659                        -2.40801                        -2.58669                        -2.61650                        -2.55164                        -2.45852                        -2.36946                        -2.29539                        -2.27484                        -2.12533                        -2.61650                                -0.94174            
2008    -2.79206                -2.28530                        -2.42945                        -2.57453                        -2.75646                        -2.79206                        -2.73991                        -2.66115                        -2.56636                        -2.46790                        -2.44114                        -2.27750                        -2.79148                                -0.95803            
2009    -2.66470                -2.23967                        -2.36942                        -2.49131                        -2.64480                        -2.66470                        -2.58365                        -2.46715                        -2.36219                        -2.27751                        -2.24034                        -2.16205                        -2.66317                                -0.94778            
2010    -2.64980                -2.21914                        -2.34743                        -2.44499                        -2.60301                        -2.64980                        -2.59438                        -2.49802                        -2.39317                        -2.32183                        -2.31992                        -2.17757                        -2.63622                                -1.00694            
2011    -2.69549                -2.30527                        -2.42734                        -2.54054                        -2.68620                        -2.69549                        -2.62459                        -2.54423                        -2.48552                        -2.44401                        -2.42963                        -2.25006                        -2.69549                                -0.96293            
2012    -2.57864                -2.13633                        -2.25564                        -2.38024                        -2.55137                        -2.57864                        -2.51235                        -2.42271                        -2.33897                        -2.28872                        -2.32104                        -2.13615                        -2.57864                                -0.92644            
