year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -2.69679                -2.32752                        -2.46011                        -2.57381                        -2.69679                        -2.68879                        -2.62152                        -2.56109                        -2.52074                        -2.49031                        -2.45102                        -2.25935                        -2.69191                                -1.02468            
1980    -2.62952                -2.34366                        -2.45107                        -2.53120                        -2.62458                        -2.62952                        -2.57958                        -2.52646                        -2.47674                        -2.41654                        -2.33398                        -2.19840                        -2.62105                                -1.01965            
1981    -2.48962                -2.17577                        -2.29361                        -2.39496                        -2.48962                        -2.47417                        -2.42298                        -2.38528                        -2.35658                        -2.32215                        -2.27732                        -2.11397                        -2.47017                                -0.99817            
1982    -2.49556                -2.16576                        -2.30330                        -2.40448                        -2.49556                        -2.46034                        -2.37151                        -2.30136                        -2.26623                        -2.25468                        -2.22105                        -2.05139                        -2.49556                                -0.96761            
1983    -2.55408                -2.31638                        -2.41486                        -2.48643                        -2.55408                        -2.53358                        -2.46308                        -2.39875                        -2.35079                        -2.30159                        -2.22069                        -2.12144                        -2.47956                                -0.91878            
1984    -2.23846                -2.01213                        -2.11359                        -2.18053                        -2.23847                        -2.23482                        -2.20197                        -2.16008                        -2.12276                        -2.08240                        -2.01150                        -1.88941                        -2.20230                                -0.87214            
1985    -2.31112                -2.01417                        -2.12299                        -2.20249                        -2.30149                        -2.31112                        -2.26967                        -2.23204                        -2.21644                        -2.21338                        -2.19237                        -1.98568                        -2.30149                                -0.94124            
1986    -2.33094                -2.06723                        -2.16895                        -2.25644                        -2.33094                        -2.29884                        -2.24003                        -2.21436                        -2.22169                        -2.23805                        -2.22081                        -1.99856                        -2.33094                                -0.91385            
1987    -2.43625                -2.15726                        -2.26375                        -2.34081                        -2.43625                        -2.42443                        -2.36411                        -2.31205                        -2.27655                        -2.24670                        -2.19535                        -2.04246                        -2.43625                                -0.93264            
1988    -2.47485                -2.13385                        -2.24618                        -2.33165                        -2.44202                        -2.47485                        -2.45782                        -2.42567                        -2.39100                        -2.35821                        -2.29395                        -2.08524                        -2.42201                                -0.98802            
1989    -2.44837                -2.13212                        -2.24423                        -2.34453                        -2.44837                        -2.44658                        -2.39629                        -2.34333                        -2.29195                        -2.23629                        -2.17181                        -2.04557                        -2.43829                                -0.95429            
1990    -2.41577                -2.11076                        -2.22734                        -2.31372                        -2.41577                        -2.41424                        -2.36198                        -2.30782                        -2.25948                        -2.20997                        -2.15380                        -2.01931                        -2.41577                                -0.95055            
1991    -2.60152                -2.21320                        -2.36440                        -2.47979                        -2.60152                        -2.60101                        -2.54968                        -2.50332                        -2.46076                        -2.40572                        -2.32040                        -2.14659                        -2.59525                                -0.98087            
1992    -2.45295                -2.18694                        -2.29480                        -2.37006                        -2.45295                        -2.44822                        -2.38962                        -2.32053                        -2.25276                        -2.18024                        -2.09625                        -2.01692                        -2.42793                                -0.93907            
1993    -2.44098                -2.15685                        -2.27037                        -2.35429                        -2.44098                        -2.43419                        -2.36371                        -2.28344                        -2.21119                        -2.14792                        -2.07622                        -1.97054                        -2.43449                                -0.90801            
1994    -2.45843                -2.17386                        -2.28641                        -2.36543                        -2.45045                        -2.45843                        -2.41271                        -2.35002                        -2.27488                        -2.18569                        -2.08915                        -2.01177                        -2.42279                                -0.95470            
1995    -2.39818                -2.09103                        -2.19485                        -2.27868                        -2.39246                        -2.39818                        -2.35458                        -2.30123                        -2.25210                        -2.21732                        -2.18928                        -2.00867                        -2.39246                                -0.95688            
1996    -2.28818                -2.01984                        -2.11819                        -2.19789                        -2.28818                        -2.27526                        -2.21699                        -2.15920                        -2.11297                        -2.09190                        -2.09920                        -1.92114                        -2.28818                                -0.86872            
1997    -2.60177                -2.28564                        -2.42157                        -2.51978                        -2.60177                        -2.55370                        -2.45518                        -2.38186                        -2.34353                        -2.31852                        -2.28440                        -2.15068                        -2.59239                                -0.94330            
1998    -2.15513                -2.04092                        -2.10244                        -2.13912                        -2.15513                        -2.11142                        -2.05244                        -1.99329                        -1.92901                        -1.86317                        -1.81742                        -1.81057                        -2.06968                                -0.85548            
1999    -2.45064                -2.13281                        -2.25012                        -2.34369                        -2.45064                        -2.44848                        -2.39513                        -2.33336                        -2.26493                        -2.19745                        -2.12617                        -2.00984                        -2.44629                                -0.91046            
2000    -2.33192                -2.05341                        -2.16283                        -2.24088                        -2.32878                        -2.33192                        -2.28356                        -2.23173                        -2.17998                        -2.12660                        -2.07567                        -1.93758                        -2.31655                                -0.88858            
2001    -2.43161                -2.08161                        -2.20281                        -2.30962                        -2.43161                        -2.42632                        -2.35425                        -2.26251                        -2.15615                        -2.05841                        -1.99756                        -1.95112                        -2.43161                                -0.90360            
2002    -2.44544                -2.11230                        -2.22811                        -2.32444                        -2.44544                        -2.44353                        -2.36971                        -2.27542                        -2.17819                        -2.09912                        -2.05461                        -1.98910                        -2.44544                                -0.94288            
2003    -2.35247                -1.98981                        -2.11285                        -2.22707                        -2.35247                        -2.34603                        -2.26226                        -2.16765                        -2.09209                        -2.06001                        -2.07930                        -1.92194                        -2.33968                                -0.89647            
2004    -2.41127                -2.09746                        -2.21032                        -2.31071                        -2.41127                        -2.38473                        -2.29304                        -2.19807                        -2.11558                        -2.06360                        -2.04550                        -1.96488                        -2.40835                                -0.92133            
2005    -2.42695                -2.15127                        -2.26022                        -2.33777                        -2.42695                        -2.39570                        -2.29312                        -2.19255                        -2.10850                        -2.04153                        -2.01115                        -1.98206                        -2.42695                                -0.89484            
2006    -2.47244                -2.21605                        -2.32348                        -2.40089                        -2.47244                        -2.42651                        -2.31734                        -2.20724                        -2.10501                        -2.02364                        -1.99195                        -1.98413                        -2.47061                                -0.94297            
2007    -2.40919                -2.08586                        -2.19604                        -2.28450                        -2.40919                        -2.40454                        -2.31727                        -2.21436                        -2.12206                        -2.06587                        -2.06612                        -1.96701                        -2.40577                                -0.92090            
2008    -2.56886                -2.23471                        -2.35713                        -2.45615                        -2.56886                        -2.56543                        -2.49693                        -2.41241                        -2.31614                        -2.22995                        -2.21479                        -2.11717                        -2.55634                                -0.93509            
2009    -2.53107                -2.22299                        -2.33177                        -2.42682                        -2.53107                        -2.50721                        -2.40549                        -2.27958                        -2.15295                        -2.05556                        -2.02717                        -2.03480                        -2.53107                                -0.94046            
2010    -2.56892                -2.21717                        -2.32689                        -2.40089                        -2.53939                        -2.56892                        -2.49972                        -2.39446                        -2.28305                        -2.20930                        -2.20820                        -2.11648                        -2.49781                                -0.98636            
2011    -2.67992                -2.31532                        -2.45064                        -2.56527                        -2.67992                        -2.66136                        -2.57093                        -2.46959                        -2.37724                        -2.31693                        -2.30929                        -2.20658                        -2.67789                                -0.96531            
2012    -2.54260                -2.14751                        -2.26949                        -2.38610                        -2.52864                        -2.54260                        -2.47318                        -2.37616                        -2.27167                        -2.20644                        -2.22027                        -2.10338                        -2.52730                                -0.95618            
2013    -2.31110                -1.96750                        -2.06386                        -2.16363                        -2.30743                        -2.31110                        -2.22125                        -2.10880                        -2.02204                        -1.97462                        -1.97804                        -1.90589                        -2.27874                                -0.93355            
2014    -2.78056                -2.36016                        -2.49388                        -2.63029                        -2.78056                        -2.76604                        -2.63212                        -2.46180                        -2.31140                        -2.21856                        -2.19726                        -2.18912                        -2.75779                                -0.99108            
2015    -2.83129                -2.42743                        -2.58038                        -2.70329                        -2.83129                        -2.80458                        -2.67612                        -2.51684                        -2.35596                        -2.22477                        -2.16799                        -2.22872                        -2.81151                                -1.00010            
2016    -2.31328                -2.04213                        -2.14465                        -2.22795                        -2.31328                        -2.29037                        -2.18686                        -2.05924                        -1.96199                        -1.91762                        -1.92438                        -1.89046                        -2.25311                                -0.92162            
2017    -2.61782                -2.37492                        -2.47963                        -2.55067                        -2.61782                        -2.59307                        -2.50822                        -2.40862                        -2.30556                        -2.21284                        -2.15546                        -2.13091                        -2.60635                                -0.98947            
