year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1980    -0.49066                -0.48913                        -0.48279                        -0.47357                        -0.45226                        -0.43126                        -0.41596                        -0.40289                        -0.39134                        -0.38359                        -0.37837                        -0.39832                        -0.48913                                -0.20921            
1981    -0.54741                -0.54741                        -0.54621                        -0.54068                        -0.52420                        -0.50398                        -0.48067                        -0.46240                        -0.44920                        -0.44314                        -0.44446                        -0.45122                        -0.54040                                -0.23817            
1982    -0.54559                -0.54559                        -0.54330                        -0.54021                        -0.52967                        -0.52240                        -0.51769                        -0.51277                        -0.50837                        -0.51083                        -0.51529                        -0.49179                        -0.54559                                -0.25136            
1983    -0.62959                -0.62959                        -0.62942                        -0.62500                        -0.61208                        -0.59932                        -0.58503                        -0.56547                        -0.54601                        -0.53398                        -0.52260                        -0.53679                        -0.62959                                -0.27844            
1984    -0.45883                -0.45883                        -0.45661                        -0.45301                        -0.44814                        -0.44548                        -0.43935                        -0.42697                        -0.41183                        -0.39923                        -0.39049                        -0.39770                        -0.45373                                -0.21946            
1985    -0.53375                -0.52077                        -0.52981                        -0.53375                        -0.53223                        -0.52301                        -0.51046                        -0.49871                        -0.49093                        -0.48925                        -0.49408                        -0.47450                        -0.52077                                -0.24160            
1986    -0.47056                -0.46788                        -0.46882                        -0.46872                        -0.47016                        -0.47056                        -0.46545                        -0.45281                        -0.43683                        -0.42126                        -0.41052                        -0.41004                        -0.46184                                -0.21485            
1987    -0.51916                -0.51916                        -0.51802                        -0.51291                        -0.50235                        -0.49155                        -0.48037                        -0.46843                        -0.45903                        -0.45809                        -0.46307                        -0.45638                        -0.51916                                -0.23765            
1988    -0.56968                -0.55988                        -0.56700                        -0.56968                        -0.56950                        -0.56452                        -0.55542                        -0.54556                        -0.53865                        -0.54107                        -0.54783                        -0.51901                        -0.54670                                -0.26063            
1989    -0.53257                -0.43106                        -0.42923                        -0.42495                        -0.41441                        -0.40378                        -0.39238                        -0.38053                        -0.37225                        -0.36956                        -0.36745                        -0.36741                        -0.42082                                -0.19488            
