year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1980    -0.42557                -0.36492                        -0.36592                        -0.36562                        -0.38027                        -0.39791                        -0.41338                        -0.42081                        -0.42344                        -0.42557                        -0.41969                        -0.37101                        -0.41532                                -0.20928            
1981    -0.52408                -0.45375                        -0.46107                        -0.46851                        -0.48785                        -0.50479                        -0.51613                        -0.52281                        -0.52408                        -0.51899                        -0.50577                        -0.45316                        -0.51694                                -0.25349            
1982    -0.63822                -0.51772                        -0.53070                        -0.54344                        -0.57269                        -0.59798                        -0.61476                        -0.62628                        -0.63449                        -0.63822                        -0.63157                        -0.54756                        -0.63519                                -0.28760            
1983    -0.70762                -0.55466                        -0.55849                        -0.56445                        -0.58584                        -0.62045                        -0.65287                        -0.67969                        -0.69880                        -0.70762                        -0.69710                        -0.60615                        -0.68640                                -0.32032            
1984    -0.48045                -0.32503                        -0.32558                        -0.33141                        -0.35144                        -0.37805                        -0.40741                        -0.43738                        -0.46125                        -0.47725                        -0.48045                        -0.38885                        -0.47725                                -0.22081            
1985    -0.45593                -0.40758                        -0.41217                        -0.41441                        -0.42209                        -0.42966                        -0.43870                        -0.44751                        -0.45282                        -0.45593                        -0.45315                        -0.40566                        -0.45448                                -0.22376            
1986    -0.51299                -0.40038                        -0.40240                        -0.40719                        -0.42426                        -0.44837                        -0.47525                        -0.49860                        -0.51128                        -0.51299                        -0.49950                        -0.42285                        -0.50732                                -0.21042            
1987    -0.57533                -0.49888                        -0.50292                        -0.50741                        -0.52080                        -0.53548                        -0.54568                        -0.55527                        -0.56592                        -0.57533                        -0.57469                        -0.50920                        -0.56318                                -0.23307            
1988    -0.65722                -0.58645                        -0.59615                        -0.60398                        -0.62357                        -0.64042                        -0.64978                        -0.65546                        -0.65722                        -0.65176                        -0.63500                        -0.57667                        -0.63098                                -0.26165            
1989    -0.51196                -0.45506                        -0.46347                        -0.47200                        -0.48252                        -0.48651                        -0.48898                        -0.48724                        -0.47814                        -0.46465                        -0.44442                        -0.42063                        -0.46305                                -0.21712            
1990    -0.57982                -0.52561                        -0.52658                        -0.52773                        -0.52819                        -0.53739                        -0.54599                        -0.55169                        -0.55451                        -0.55509                        -0.54824                        -0.49743                        -0.55251                                -0.24806            
1991    -0.58571                -0.55067                        -0.55600                        -0.56158                        -0.56712                        -0.57431                        -0.58159                        -0.58571                        -0.58268                        -0.57346                        -0.55584                        -0.51720                        -0.57346                                -0.25304            
1992    -0.51053                -0.51053                        -0.50927                        -0.50626                        -0.49780                        -0.49395                        -0.49595                        -0.50044                        -0.49944                        -0.49483                        -0.48486                        -0.46496                        -0.49483                                -0.23727            
1993    -0.49074                -0.48226                        -0.48628                        -0.48799                        -0.48715                        -0.48944                        -0.49074                        -0.48997                        -0.48594                        -0.48077                        -0.47182                        -0.44530                        -0.47036                                -0.20401            
1994    -0.56267                -0.53711                        -0.53772                        -0.53648                        -0.53918                        -0.54723                        -0.55704                        -0.56267                        -0.55834                        -0.54379                        -0.52280                        -0.49704                        -0.52200                                -0.25188            
1995    -0.47250                -0.47113                        -0.46511                        -0.45757                        -0.44462                        -0.44181                        -0.44687                        -0.45460                        -0.45806                        -0.45571                        -0.44345                        -0.42294                        -0.43116                                -0.20679            
1996    -0.39960                -0.39120                        -0.38748                        -0.38464                        -0.38348                        -0.38395                        -0.39059                        -0.39906                        -0.39960                        -0.39213                        -0.37771                        -0.35769                        -0.39213                                -0.17245            
1997    -0.50401                -0.50298                        -0.49970                        -0.49520                        -0.48628                        -0.48242                        -0.48286                        -0.48732                        -0.49019                        -0.48635                        -0.47449                        -0.45093                        -0.47978                                -0.22886            
1998    -0.69067                -0.66147                        -0.66381                        -0.66483                        -0.66525                        -0.66808                        -0.67859                        -0.69031                        -0.69067                        -0.67666                        -0.64623                        -0.60681                        -0.67666                                -0.30296            
1999    -0.57069                -0.38472                        -0.38299                        -0.38040                        -0.37234                        -0.37523                        -0.39355                        -0.41559                        -0.42998                        -0.43167                        -0.42517                        -0.37156                        -0.42401                                -0.21174            
2000    -0.45379                -0.43934                        -0.44009                        -0.43935                        -0.43750                        -0.43860                        -0.44522                        -0.45013                        -0.44669                        -0.43586                        -0.41846                        -0.39434                        -0.41123                                -0.22243            
2001    -0.56184                -0.51176                        -0.52126                        -0.52940                        -0.54220                        -0.54982                        -0.55422                        -0.56091                        -0.56184                        -0.55371                        -0.53958                        -0.48754                        -0.52253                                -0.24611            
2002    -0.49503                -0.36787                        -0.37229                        -0.37660                        -0.39150                        -0.41424                        -0.44489                        -0.47150                        -0.48955                        -0.49503                        -0.48566                        -0.40247                        -0.47725                                -0.20965            
2003    -0.52450                -0.42771                        -0.42799                        -0.42796                        -0.42921                        -0.44497                        -0.47882                        -0.50953                        -0.52450                        -0.51804                        -0.49635                        -0.43390                        -0.51765                                -0.23711            
2004    -0.44938                -0.44695                        -0.43984                        -0.42981                        -0.40935                        -0.39393                        -0.39442                        -0.40375                        -0.40718                        -0.40175                        -0.39007                        -0.37554                        -0.40175                                -0.20368            
2005    -0.46662                -0.46174                        -0.44958                        -0.43381                        -0.40175                        -0.38317                        -0.38866                        -0.40717                        -0.42234                        -0.42658                        -0.42112                        -0.39067                        -0.42055                                -0.20797            
2006    -0.46952                -0.40314                        -0.40423                        -0.40439                        -0.40895                        -0.42166                        -0.43980                        -0.45746                        -0.46829                        -0.46952                        -0.46480                        -0.40030                        -0.46687                                -0.21464            
2007    -0.55756                -0.43402                        -0.42253                        -0.41060                        -0.39364                        -0.39264                        -0.41499                        -0.44476                        -0.46214                        -0.46336                        -0.45290                        -0.40365                        -0.46336                                -0.22461            
2008    -0.50327                -0.46956                        -0.46804                        -0.46411                        -0.45718                        -0.45741                        -0.46862                        -0.48472                        -0.49631                        -0.50327                        -0.50034                        -0.43368                        -0.45827                                -0.24370            
2009    -0.46852                -0.40428                        -0.40677                        -0.40815                        -0.41095                        -0.42172                        -0.43468                        -0.44567                        -0.44952                        -0.44680                        -0.43739                        -0.39557                        -0.42816                                -0.21618            
2010    -0.63095                -0.56369                        -0.56150                        -0.55897                        -0.55923                        -0.57342                        -0.59640                        -0.61936                        -0.63095                        -0.62564                        -0.60842                        -0.54811                        -0.62564                                -0.27741            
2011    -0.57953                -0.48071                        -0.48209                        -0.48327                        -0.49002                        -0.50379                        -0.52648                        -0.55326                        -0.57254                        -0.57943                        -0.57953                        -0.49253                        -0.56859                                -0.25039            
2012    -0.47778                -0.38035                        -0.37120                        -0.36306                        -0.35985                        -0.37234                        -0.39654                        -0.42433                        -0.45061                        -0.46882                        -0.47778                        -0.39366                        -0.44522                                -0.21494            
2013    -0.53177                -0.47890                        -0.47613                        -0.47255                        -0.47022                        -0.47897                        -0.49927                        -0.52134                        -0.53177                        -0.53036                        -0.52388                        -0.46202                        -0.52121                                -0.26595            
2014    -0.54335                -0.45839                        -0.45666                        -0.45186                        -0.44406                        -0.44746                        -0.46709                        -0.49644                        -0.52206                        -0.53691                        -0.54335                        -0.45870                        -0.53527                                -0.23410            
2015    -0.50998                -0.37277                        -0.36049                        -0.34733                        -0.33830                        -0.35133                        -0.38455                        -0.42596                        -0.46242                        -0.49071                        -0.50888                        -0.40096                        -0.49071                                -0.20183            
2016    -0.58086                -0.44256                        -0.42827                        -0.41544                        -0.40585                        -0.42506                        -0.46342                        -0.50870                        -0.54973                        -0.57145                        -0.57027                        -0.47220                        -0.56503                                -0.24721            
2017    -0.46449                -0.39147                        -0.37909                        -0.36589                        -0.34760                        -0.34729                        -0.36867                        -0.40232                        -0.43407                        -0.45389                        -0.46449                        -0.38158                        -0.44615                                -0.20971            
2018    -0.46189                -0.40355                        -0.39549                        -0.38662                        -0.37424                        -0.37384                        -0.38795                        -0.40964                        -0.42095                        -0.41850                        -0.40434                        -0.36383                        -0.41488                                -0.20609            
