year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -1.15015                -1.10624                        -1.13564                        -1.15015                        -1.13689                        -1.07961                        -1.00631                        -0.93804                        -0.87880                        -0.83063                        -0.79794                        -0.88667                        -1.10157                                -0.44486            
1980    -1.13232                -1.09872                        -1.12426                        -1.13232                        -1.10778                        -1.05201                        -0.98822                        -0.93426                        -0.88807                        -0.84635                        -0.80544                        -0.88169                        -1.10778                                -0.46017            
1981    -1.10726                -1.08102                        -1.10161                        -1.10726                        -1.08871                        -1.04580                        -0.99456                        -0.94029                        -0.88502                        -0.84102                        -0.81037                        -0.88029                        -1.08599                                -0.44198            
1982    -1.13745                -1.09575                        -1.12503                        -1.13745                        -1.11731                        -1.05953                        -0.99279                        -0.93480                        -0.88227                        -0.83890                        -0.80258                        -0.88572                        -1.11640                                -0.45738            
1983    -1.13617                -1.11013                        -1.12988                        -1.13617                        -1.12070                        -1.07820                        -1.02507                        -0.97439                        -0.92675                        -0.88561                        -0.84684                        -0.90973                        -1.10165                                -0.42741            
1984    -1.01495                -0.98023                        -1.00192                        -1.01495                        -1.01154                        -0.97777                        -0.93187                        -0.88861                        -0.84768                        -0.81138                        -0.77837                        -0.81917                        -0.99146                                -0.39560            
1985    -1.03448                -0.98931                        -1.01659                        -1.03398                        -1.03448                        -0.99659                        -0.94674                        -0.89555                        -0.84847                        -0.80896                        -0.77746                        -0.82822                        -1.02445                                -0.41610            
1986    -1.09537                -1.04888                        -1.07983                        -1.09537                        -1.08756                        -1.04488                        -0.99169                        -0.93803                        -0.88948                        -0.85002                        -0.81974                        -0.87421                        -1.08756                                -0.43728            
1987    -1.17945                -1.11411                        -1.15201                        -1.17528                        -1.17945                        -1.13713                        -1.07980                        -1.01908                        -0.96390                        -0.92013                        -0.88485                        -0.93806                        -1.17291                                -0.45509            
1988    -1.07558                -1.03249                        -1.05700                        -1.07037                        -1.07558                        -1.04904                        -1.00672                        -0.96279                        -0.92260                        -0.89009                        -0.86119                        -0.88456                        -1.05828                                -0.44043            
1989    -0.94866                -0.92314                        -0.94085                        -0.94866                        -0.93502                        -0.89574                        -0.85163                        -0.81239                        -0.77909                        -0.75355                        -0.73348                        -0.76865                        -0.92845                                -0.39813            
1990    -1.13104                -1.07943                        -1.11299                        -1.13104                        -1.12579                        -1.08391                        -1.03138                        -0.98191                        -0.93895                        -0.90611                        -0.88419                        -0.91488                        -1.12282                                -0.46237            
1991    -1.05355                -0.98743                        -1.02330                        -1.04647                        -1.05355                        -1.01757                        -0.96709                        -0.92211                        -0.88936                        -0.85997                        -0.82744                        -0.84839                        -1.04368                                -0.43258            
1992    -1.06132                -1.01804                        -1.04503                        -1.06066                        -1.06132                        -1.03003                        -0.98545                        -0.94309                        -0.90730                        -0.87641                        -0.85030                        -0.87792                        -1.05687                                -0.41592            
1993    -1.10267                -1.02612                        -1.06160                        -1.08977                        -1.10267                        -1.07317                        -1.02900                        -0.99136                        -0.95722                        -0.92931                        -0.90795                        -0.90750                        -1.10198                                -0.44860            
1994    -1.13125                -1.02957                        -1.07575                        -1.10857                        -1.13125                        -1.10529                        -1.05977                        -1.01970                        -0.98047                        -0.94781                        -0.92468                        -0.92640                        -1.11784                                -0.45885            
1995    -1.05720                -1.00772                        -1.03711                        -1.05439                        -1.05720                        -1.02954                        -0.99285                        -0.96018                        -0.92979                        -0.90361                        -0.88498                        -0.88547                        -1.05586                                -0.42866            
1996    -0.99308                -0.96282                        -0.98422                        -0.99308                        -0.98296                        -0.94815                        -0.90470                        -0.86471                        -0.83182                        -0.81119                        -0.80733                        -0.82126                        -0.98296                                -0.42330            
1997    -1.21210                -1.15537                        -1.19200                        -1.21210                        -1.20711                        -1.15947                        -1.09394                        -1.03125                        -0.97915                        -0.94258                        -0.92877                        -0.97153                        -1.17025                                -0.49312            
