year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -1.15301                -1.07358                        -1.11156                        -1.13650                        -1.15301                        -1.13492                        -1.10623                        -1.08421                        -1.06733                        -1.05056                        -1.02688                        -0.98630                        -1.13905                                -0.48799            
1980    -1.21266                -1.14427                        -1.17920                        -1.20072                        -1.21266                        -1.19328                        -1.16305                        -1.13450                        -1.10440                        -1.06342                        -1.00585                        -1.00524                        -1.21266                                -0.50186            
1981    -1.20771                -1.13888                        -1.17291                        -1.19417                        -1.20771                        -1.19335                        -1.16968                        -1.14661                        -1.11967                        -1.08620                        -1.04229                        -1.02407                        -1.20771                                -0.48545            
1982    -1.20605                -1.13652                        -1.17208                        -1.19416                        -1.20605                        -1.18895                        -1.16452                        -1.14555                        -1.13085                        -1.10967                        -1.07519                        -1.04075                        -1.20447                                -0.50426            
1983    -1.16510                -1.10640                        -1.13294                        -1.15054                        -1.16510                        -1.15795                        -1.14439                        -1.13421                        -1.12164                        -1.09787                        -1.05911                        -1.01706                        -1.14929                                -0.46907            
1984    -1.03420                -0.98522                        -1.01008                        -1.02588                        -1.03420                        -1.01954                        -0.99997                        -0.98814                        -0.97990                        -0.96425                        -0.93553                        -0.89902                        -1.00805                                -0.41438            
1985    -1.04933                -0.99730                        -1.02574                        -1.04267                        -1.04933                        -1.02957                        -1.00424                        -0.98642                        -0.97434                        -0.95712                        -0.92643                        -0.89697                        -1.04611                                -0.42500            
1986    -1.11078                -1.05959                        -1.09001                        -1.10739                        -1.11078                        -1.08783                        -1.06032                        -1.04266                        -1.03171                        -1.01860                        -0.99253                        -0.95608                        -1.11078                                -0.46400            
1987    -1.25311                -1.17158                        -1.21143                        -1.23726                        -1.25311                        -1.23284                        -1.20278                        -1.17646                        -1.14966                        -1.11455                        -1.06519                        -1.04520                        -1.25025                                -0.49837            
1988    -1.20739                -1.12836                        -1.16072                        -1.18495                        -1.20739                        -1.19940                        -1.17853                        -1.16021                        -1.13986                        -1.10918                        -1.06273                        -1.02515                        -1.19784                                -0.48696            
1989    -1.07682                -1.02218                        -1.04893                        -1.06594                        -1.07682                        -1.06339                        -1.04108                        -1.02113                        -1.00001                        -0.97342                        -0.93467                        -0.91825                        -1.07341                                -0.44694            
1990    -1.26036                -1.17306                        -1.21293                        -1.23969                        -1.26036                        -1.24950                        -1.22454                        -1.19704                        -1.16472                        -1.12359                        -1.06914                        -1.05132                        -1.26036                                -0.50466            
1991    -1.19717                -1.12210                        -1.15652                        -1.18015                        -1.19717                        -1.18233                        -1.15549                        -1.13000                        -1.10279                        -1.06973                        -1.02089                        -1.00770                        -1.19677                                -0.49107            
1992    -1.21973                -1.14805                        -1.18092                        -1.20287                        -1.21973                        -1.20628                        -1.17916                        -1.15094                        -1.11742                        -1.07422                        -1.02190                        -1.01916                        -1.21347                                -0.45665            
1993    -1.22940                -1.14206                        -1.17967                        -1.20746                        -1.22940                        -1.21583                        -1.18777                        -1.15784                        -1.12430                        -1.08635                        -1.04334                        -1.02584                        -1.22940                                -0.48849            
1994    -1.22480                -1.13670                        -1.17557                        -1.20290                        -1.22480                        -1.21554                        -1.19299                        -1.16802                        -1.13612                        -1.09536                        -1.04780                        -1.03143                        -1.22480                                -0.49213            
1995    -1.08951                -1.03716                        -1.06060                        -1.07548                        -1.08951                        -1.08198                        -1.06762                        -1.05441                        -1.03540                        -1.00961                        -0.97550                        -0.94414                        -1.08151                                -0.44312            
1996    -1.01512                -0.99272                        -1.00736                        -1.01512                        -1.01003                        -0.98610                        -0.96019                        -0.94115                        -0.92334                        -0.90533                        -0.89080                        -0.87765                        -1.00644                                -0.43099            
1997    -1.13029                -1.09715                        -1.12093                        -1.13029                        -1.11567                        -1.07370                        -1.02822                        -0.99284                        -0.96222                        -0.93126                        -0.89970                        -0.93038                        -1.10285                                -0.46583            
1998    -1.13018                -1.12143                        -1.13018                        -1.12896                        -1.10412                        -1.06528                        -1.03298                        -1.01204                        -0.98907                        -0.95100                        -0.90203                        -0.93323                        -1.07630                                -0.43141            
1999    -1.09818                -1.03721                        -1.07023                        -1.08987                        -1.09818                        -1.07732                        -1.05150                        -1.03040                        -1.00388                        -0.96798                        -0.92582                        -0.90954                        -1.09818                                -0.44641            
2000    -1.00695                -0.95977                        -0.98452                        -0.99948                        -1.00695                        -0.99133                        -0.97549                        -0.96756                        -0.95502                        -0.93115                        -0.89466                        -0.85689                        -1.00174                                -0.42316            
2001    -1.07481                -1.02868                        -1.05509                        -1.07055                        -1.07481                        -1.05339                        -1.02619                        -1.00246                        -0.97630                        -0.94457                        -0.90950                        -0.89491                        -1.07135                                -0.43013            
2002    -1.14593                -1.06841                        -1.10388                        -1.12643                        -1.14593                        -1.14102                        -1.12846                        -1.11245                        -1.08819                        -1.04755                        -0.99450                        -0.96721                        -1.14593                                -0.48023            
2003    -1.10250                -1.06054                        -1.08830                        -1.10250                        -1.10190                        -1.07746                        -1.05203                        -1.03399                        -1.01297                        -0.98063                        -0.93668                        -0.92184                        -1.10190                                -0.45373            
2004    -1.07540                -1.05461                        -1.07147                        -1.07540                        -1.05995                        -1.03086                        -1.00823                        -0.99445                        -0.97484                        -0.94572                        -0.91210                        -0.90406                        -1.05995                                -0.43099            
2005    -1.11688                -1.08526                        -1.10840                        -1.11688                        -1.10159                        -1.06495                        -1.03075                        -1.00676                        -0.97889                        -0.94284                        -0.90914                        -0.91878                        -1.10010                                -0.44345            
2006    -1.13661                -1.10565                        -1.12836                        -1.13661                        -1.12417                        -1.08825                        -1.05578                        -1.02861                        -1.00008                        -0.95607                        -0.90773                        -0.93290                        -1.12417                                -0.47060            
2007    -1.07030                -1.03988                        -1.06000                        -1.07030                        -1.06931                        -1.05015                        -1.02588                        -1.00067                        -0.96817                        -0.92410                        -0.88739                        -0.90127                        -1.06682                                -0.45711            
2008    -1.09698                -1.05989                        -1.08208                        -1.09539                        -1.09698                        -1.07607                        -1.04827                        -1.02025                        -0.98227                        -0.93885                        -0.90649                        -0.91761                        -1.09698                                -0.46425            
2009    -1.09124                -1.05426                        -1.07944                        -1.09124                        -1.08778                        -1.06122                        -1.03296                        -1.00510                        -0.97158                        -0.92865                        -0.88820                        -0.91308                        -1.08778                                -0.44659            
2010    -1.17464                -1.13649                        -1.16141                        -1.17444                        -1.17464                        -1.15247                        -1.12534                        -1.10009                        -1.06854                        -1.02418                        -0.98067                        -0.99478                        -1.16768                                -0.49291            
