year    Phi^max(150 hPa) [10^6 m^2/s]   Phi^max(200 hPa) [10^6 m^2/s]   Phi^max(250 hPa) [10^6 m^2/s]   omega^min(400 hPa) [Pa/s]       omega^min(500 hPa) [Pa/s]       omega^min(600 hPa) [Pa/s]       omega^min [Pa/s]                v_E^NHC(1000-850 hPa) [m/s]     v_E^SHC(1000-850 hPa) [m/s]     I_M (all m) [10^3]              I_M^MRG (all m) [10^3]          I_M (m >= 7) [10^3]             I_M (m >= 9) [10^3]     
1979    1.42803                         1.69681                         1.03593                         -0.03259                        -0.03188                        -0.03537                        -0.04039                        -0.32487                        0.52800                         1.12671                         1.17132                         0.32536                         0.28785                 
1980    1.69852                         1.69525                         1.02531                         -0.03422                        -0.03400                        -0.03496                        -0.03851                        -0.29844                        0.52502                         1.07106                         1.12237                         0.32703                         0.28096                 
1981    1.51516                         1.77479                         1.11069                         -0.03188                        -0.03101                        -0.03395                        -0.03939                        -0.29004                        0.52158                         1.05449                         1.10132                         0.32433                         0.27933                 
1982    1.47669                         1.88681                         1.02064                         -0.02772                        -0.03005                        -0.03288                        -0.03850                        -0.32783                        0.52610                         1.12779                         1.17589                         0.32976                         0.28889                 
1983    1.19469                         1.59050                         0.88323                         -0.02149                        -0.02152                        -0.02434                        -0.02942                        -0.32640                        0.44785                         1.16989                         1.22094                         0.34729                         0.29878                 
1984    1.38650                         1.38847                         0.86329                         -0.02444                        -0.02510                        -0.02688                        -0.03445                        -0.32845                        0.46185                         1.05899                         1.11051                         0.31575                         0.27328                 
1985    1.40949                         1.60600                         0.88248                         -0.02554                        -0.02499                        -0.02899                        -0.03499                        -0.30974                        0.48185                         1.12358                         1.17267                         0.32087                         0.28343                 
1986    1.52937                         1.56874                         0.96583                         -0.02760                        -0.02903                        -0.03219                        -0.03801                        -0.32833                        0.49370                         1.03671                         1.08246                         0.31177                         0.27585                 
1987    1.36134                         1.78671                         1.04325                         -0.02854                        -0.03166                        -0.03534                        -0.04065                        -0.35028                        0.49477                         1.12023                         1.16567                         0.33835                         0.29464                 
1988    1.45683                         1.53327                         0.91839                         -0.02425                        -0.02471                        -0.02669                        -0.04176                        -0.31985                        0.50761                         1.09416                         1.14276                         0.33636                         0.29822                 
1989    1.25436                         1.46266                         1.02347                         -0.02896                        -0.02899                        -0.03056                        -0.03659                        -0.33027                        0.47714                         1.20976                         1.25374                         0.35856                         0.30851                 
