year    Phi^max(150 hPa) [10^6 m^2/s]   Phi^max(200 hPa) [10^6 m^2/s]   Phi^max(250 hPa) [10^6 m^2/s]   omega^min(400 hPa) [Pa/s]       omega^min(500 hPa) [Pa/s]       omega^min(600 hPa) [Pa/s]       omega^min [Pa/s]                v_E^NHC(1000-850 hPa) [m/s]     v_E^SHC(1000-850 hPa) [m/s]     I_M (all m) [10^3]              I_M^MRG (all m) [10^3]          I_M (m >= 7) [10^3]             I_M (m >= 9) [10^3]     
1979    1.99459                         1.20999                         0.75533                         -0.03141                        -0.02994                        -0.03081                        -0.04030                        -0.32270                        0.53778                         0.43052                         0.44504                         0.09173                         0.08019                 
1980    2.15087                         0.98984                         0.61294                         -0.03376                        -0.03147                        -0.03144                        -0.04115                        -0.31251                        0.55080                         0.39589                         0.41308                         0.08986                         0.07766                 
1981    2.16063                         1.07978                         0.66383                         -0.03257                        -0.03002                        -0.02987                        -0.04257                        -0.30835                        0.54436                         0.38596                         0.40123                         0.08828                         0.07637                 
1982    2.42826                         1.16374                         0.62871                         -0.03329                        -0.03172                        -0.03321                        -0.04444                        -0.36332                        0.54563                         0.42335                         0.43856                         0.09177                         0.07929                 
1983    2.04574                         1.06808                         0.63105                         -0.02396                        -0.02554                        -0.02567                        -0.02889                        -0.35948                        0.45088                         0.43652                         0.45147                         0.09331                         0.08102                 
1984    2.14307                         0.96945                         0.53327                         -0.02982                        -0.02754                        -0.02653                        -0.03618                        -0.35220                        0.46359                         0.39318                         0.40950                         0.08609                         0.07500                 
1985    1.95270                         1.12884                         0.56086                         -0.02882                        -0.02739                        -0.02720                        -0.03781                        -0.33282                        0.49554                         0.43123                         0.44720                         0.08923                         0.07761                 
1986    2.16192                         1.09564                         0.69660                         -0.03276                        -0.03143                        -0.03092                        -0.04041                        -0.34844                        0.51606                         0.39914                         0.41485                         0.08723                         0.07561                 
1987    2.02556                         1.17588                         0.71793                         -0.03458                        -0.03447                        -0.03416                        -0.04287                        -0.36429                        0.51907                         0.42219                         0.43739                         0.09081                         0.07892                 
1988    2.09871                         1.06338                         0.63777                         -0.02719                        -0.02617                        -0.02574                        -0.03937                        -0.34507                        0.52625                         0.41937                         0.43666                         0.09484                         0.08278                 
1989    2.10142                         0.94048                         0.51350                         -0.02933                        -0.02869                        -0.02868                        -0.03973                        -0.36537                        0.50167                         0.45653                         0.46985                         0.09611                         0.08550                 
1990    2.07331                         1.11321                         0.74869                         -0.03148                        -0.03119                        -0.03207                        -0.04194                        -0.36571                        0.55509                         0.43263                         0.44818                         0.09701                         0.08505                 
1991    2.23492                         1.13846                         0.66715                         -0.03479                        -0.03588                        -0.03609                        -0.04533                        -0.36585                        0.51975                         0.40066                         0.41764                         0.08816                         0.07649                 
1992    1.92711                         1.09183                         0.62471                         -0.02422                        -0.02394                        -0.02526                        -0.03447                        -0.35770                        0.49115                         0.39640                         0.41123                         0.08783                         0.07750                 
1993    1.85266                         1.18817                         0.78617                         -0.03085                        -0.03171                        -0.03326                        -0.04149                        -0.35575                        0.51816                         0.46017                         0.47359                         0.09328                         0.08245                 
1994    1.93374                         1.29117                         0.76346                         -0.03161                        -0.03016                        -0.03120                        -0.04207                        -0.34265                        0.54280                         0.42144                         0.43656                         0.09458                         0.08393                 
1995    1.73125                         1.09295                         0.73902                         -0.02928                        -0.02715                        -0.02761                        -0.03931                        -0.31699                        0.49717                         0.39868                         0.41224                         0.08857                         0.07713                 
1996    1.72782                         1.14486                         0.77646                         -0.02920                        -0.02822                        -0.02920                        -0.04135                        -0.32501                        0.51645                         0.39026                         0.40474                         0.08450                         0.07375                 
1997    1.85603                         1.36763                         0.74152                         -0.03179                        -0.03141                        -0.03291                        -0.04098                        -0.34232                        0.52621                         0.41758                         0.43302                         0.08797                         0.07602                 
1998    1.32025                         0.91127                         0.57441                         -0.02150                        -0.02383                        -0.02229                        -0.02927                        -0.33062                        0.48626                         0.47796                         0.49142                         0.09918                         0.08697                 
1999    1.71439                         0.96252                         0.72321                         -0.02744                        -0.02740                        -0.02880                        -0.03757                        -0.30920                        0.54421                         0.46248                         0.47741                         0.09498                         0.08310                 
2000    1.61196                         0.81712                         0.69972                         -0.02896                        -0.02924                        -0.03049                        -0.04283                        -0.35966                        0.52267                         0.41425                         0.42918                         0.09017                         0.07932                 
2001    1.46899                         0.83025                         0.73617                         -0.02812                        -0.02812                        -0.03098                        -0.04156                        -0.34254                        0.54751                         0.43000                         0.44604                         0.09137                         0.08079                 
2002    1.48049                         1.32248                         0.86037                         -0.02998                        -0.03072                        -0.03372                        -0.04157                        -0.35720                        0.54253                         0.39631                         0.41430                         0.09037                         0.07854                 
2003    1.41164                         1.27921                         0.85151                         -0.02831                        -0.02781                        -0.03225                        -0.04032                        -0.33613                        0.55346                         0.42070                         0.43489                         0.08971                         0.07876                 
2004    1.28207                         1.46100                         0.91111                         -0.02674                        -0.02730                        -0.03168                        -0.04293                        -0.35280                        0.55287                         0.44093                         0.45924                         0.09240                         0.08051                 
2005    1.16263                         1.47448                         1.04122                         -0.02580                        -0.02724                        -0.03299                        -0.04754                        -0.33037                        0.55957                         0.41758                         0.43701                         0.08602                         0.07564                 
2006    1.35257                         1.39843                         0.95907                         -0.02907                        -0.03095                        -0.03623                        -0.04863                        -0.35809                        0.58031                         0.46021                         0.47677                         0.09710                         0.08468                 
2007    1.35967                         1.33566                         1.02091                         -0.02549                        -0.02609                        -0.02957                        -0.04129                        -0.35384                        0.53474                         0.42195                         0.43922                         0.09700                         0.08565                 
2008    1.39468                         1.48177                         1.18051                         -0.02901                        -0.03057                        -0.03522                        -0.04607                        -0.36386                        0.54251                         0.46087                         0.47821                         0.09606                         0.08435                 
2009    1.60605                         1.48821                         0.98896                         -0.02996                        -0.03203                        -0.03597                        -0.04305                        -0.35652                        0.51896                         0.39981                         0.41696                         0.08881                         0.07729                 
2010    1.49454                         1.55933                         1.03153                         -0.02761                        -0.02898                        -0.03427                        -0.04623                        -0.30721                        0.58500                         0.45238                         0.46894                         0.09749                         0.08569                 
