metric                  psi^max                 psi^max(800 hPa)        psi^max(750 hPa)        psi^max(700 hPa)        psi^max(650 hPa)        psi^max(600 hPa)        psi^max(550 hPa)        psi^max(500 hPa)        psi^max(450 hPa)        psi^max(400 hPa)        <psi^max>_p             psi(phi^max, p^max)     psi_NHC                 Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        -omega^min(400 hPa)     -omega^min(500 hPa)     -omega^min(600 hPa)     -omega^min              -v_E^NHC(1000-850 hPa)  I_M(all m)              
-psi^min                1.                      0.897                   0.922                   0.940                   0.951                   0.956                   0.951                   0.935                   0.909                   0.874                   0.959                   0.930                   0.852                   0.090                   0.257                   0.599                   0.545                   0.582                   0.618                   0.632                   0.798                   0.058                   
-psi^min(800 hPa)       0.964                   1.                      0.996                   0.982                   0.962                   0.933                   0.890                   0.837                   0.781                   0.721                   0.921                   0.967                   0.811                   -0.083                  0.223                   0.623                   0.381                   0.427                   0.510                   0.642                   0.839                   0.093                   
-psi^min(750 hPa)       0.997                   0.980                   1.                      0.995                   0.981                   0.955                   0.915                   0.864                   0.807                   0.746                   0.936                   0.983                   0.825                   -0.056                  0.213                   0.623                   0.410                   0.451                   0.531                   0.650                   0.848                   0.077                   
-psi^min(700 hPa)       0.995                   0.940                   0.987                   1.                      0.995                   0.976                   0.940                   0.892                   0.837                   0.773                   0.952                   0.989                   0.825                   -0.009                  0.211                   0.602                   0.430                   0.475                   0.548                   0.639                   0.855                   0.066                   
-psi^min(650 hPa)       0.976                   0.902                   0.962                   0.992                   1.                      0.992                   0.966                   0.925                   0.875                   0.811                   0.967                   0.985                   0.827                   0.048                   0.236                   0.586                   0.458                   0.513                   0.575                   0.629                   0.857                   0.057                   
-psi^min(600 hPa)       0.950                   0.866                   0.932                   0.973                   0.994                   1.                      0.990                   0.961                   0.920                   0.857                   0.978                   0.969                   0.843                   0.103                   0.282                   0.584                   0.504                   0.565                   0.611                   0.624                   0.845                   0.049                   
-psi^min(550 hPa)       0.919                   0.825                   0.897                   0.947                   0.977                   0.994                   1.                      0.990                   0.961                   0.903                   0.979                   0.936                   0.856                   0.146                   0.325                   0.584                   0.546                   0.610                   0.637                   0.612                   0.820                   0.041                   
-psi^min(500 hPa)       0.879                   0.776                   0.854                   0.912                   0.950                   0.976                   0.993                   1.                      0.988                   0.942                   0.968                   0.888                   0.849                   0.175                   0.345                   0.569                   0.565                   0.632                   0.638                   0.587                   0.784                   0.033                   
-psi^min(450 hPa)       0.830                   0.718                   0.803                   0.868                   0.913                   0.946                   0.973                   0.992                   1.                      0.978                   0.951                   0.827                   0.809                   0.198                   0.347                   0.528                   0.548                   0.625                   0.610                   0.536                   0.752                   0.033                   
-psi^min(400 hPa)       0.773                   0.655                   0.745                   0.814                   0.864                   0.902                   0.935                   0.966                   0.988                   1.                      0.921                   0.752                   0.741                   0.196                   0.347                   0.476                   0.500                   0.590                   0.555                   0.462                   0.723                   0.038                   
-<psi^min>_p            0.958                   0.899                   0.946                   0.972                   0.983                   0.986                   0.981                   0.967                   0.943                   0.908                   1.                      0.932                   0.818                   0.109                   0.292                   0.537                   0.458                   0.540                   0.570                   0.566                   0.856                   0.063                   
-psi(phi^min, p^min)    0.985                   0.926                   0.977                   0.990                   0.985                   0.971                   0.949                   0.918                   0.877                   0.825                   0.969                   1.                      0.862                   0.019                   0.225                   0.640                   0.494                   0.519                   0.599                   0.699                   0.836                   0.018                   
-psi_SHC                0.880                   0.807                   0.873                   0.880                   0.866                   0.848                   0.833                   0.815                   0.793                   0.780                   0.856                   0.892                   1.                      0.006                   0.350                   0.811                   0.729                   0.699                   0.748                   0.813                   0.676                   -0.014                  
Phi^max(150 hPa)        0.094                   0.096                   0.099                   0.062                   0.012                   -0.042                  -0.092                  -0.139                  -0.172                  -0.201                  -0.034                  0.051                   0.125                   1.                      0.418                   -0.189                  0.275                   0.372                   0.338                   0.013                   -0.033                  -0.313                  
Phi^max(200 hPa)        0.680                   0.620                   0.673                   0.665                   0.631                   0.592                   0.557                   0.520                   0.482                   0.456                   0.610                   0.664                   0.736                   0.418                   1.                      0.453                   0.584                   0.682                   0.651                   0.457                   0.073                   -0.089                  
Phi^max(250 hPa)        0.454                   0.384                   0.450                   0.471                   0.483                   0.494                   0.508                   0.532                   0.564                   0.637                   0.513                   0.496                   0.723                   -0.189                  0.453                   1.                      0.748                   0.665                   0.715                   0.869                   0.371                   0.075                   
-omega^min(400 hPa)     0.354                   0.250                   0.339                   0.350                   0.337                   0.322                   0.316                   0.318                   0.328                   0.371                   0.313                   0.381                   0.641                   0.275                   0.584                   0.748                   1.                      0.931                   0.936                   0.817                   0.188                   -0.127                  
-omega^min(500 hPa)     0.471                   0.373                   0.458                   0.463                   0.437                   0.409                   0.394                   0.382                   0.375                   0.395                   0.405                   0.485                   0.702                   0.372                   0.682                   0.665                   0.931                   1.                      0.963                   0.759                   0.308                   -0.046                  
-omega^min(600 hPa)     0.420                   0.317                   0.408                   0.417                   0.395                   0.373                   0.362                   0.358                   0.364                   0.403                   0.369                   0.443                   0.684                   0.338                   0.651                   0.715                   0.936                   0.963                   1.                      0.835                   0.375                   -0.109                  
-omega^min              0.399                   0.327                   0.397                   0.409                   0.405                   0.404                   0.407                   0.419                   0.438                   0.493                   0.398                   0.439                   0.705                   0.013                   0.457                   0.869                   0.817                   0.759                   0.835                   1.                      0.360                   -0.089                  
v_E^SHC(1000-850 hPa)   0.520                   0.486                   0.527                   0.508                   0.483                   0.463                   0.446                   0.433                   0.425                   0.448                   0.463                   0.543                   0.783                   0.032                   0.488                   0.784                   0.732                   0.647                   0.688                   0.862                   1.                      0.127                   
I_M(all m)              0.204                   0.227                   0.209                   0.202                   0.195                   0.187                   0.180                   0.170                   0.166                   0.152                   0.187                   0.181                   0.163                   -0.313                  -0.089                  0.075                   -0.127                  -0.046                  -0.109                  -0.089                  0.091                   1.                      
