metric                  psi^max                 psi^max(800 hPa)        psi^max(750 hPa)        psi^max(700 hPa)        psi^max(650 hPa)        psi^max(600 hPa)        psi^max(550 hPa)        psi^max(500 hPa)        psi^max(450 hPa)        psi^max(400 hPa)        <psi^max>_p             psi(phi^max, p^max)     psi_NHC                 Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        -omega^min(400 hPa)     -omega^min(500 hPa)     -omega^min(600 hPa)     -omega^min              -v_E^NHC(1000-850 hPa)  I_M(all m)              
-psi^min                1.                      0.849                   0.909                   0.950                   0.980                   0.995                   0.982                   0.944                   0.905                   0.883                   0.976                   0.994                   0.919                   0.223                   0.432                   0.405                   0.400                   0.586                   0.618                   0.441                   0.579                   0.087                   
-psi^min(800 hPa)       0.947                   1.                      0.970                   0.932                   0.903                   0.855                   0.773                   0.686                   0.628                   0.620                   0.851                   0.850                   0.801                   -0.067                  0.596                   0.558                   0.181                   0.441                   0.664                   0.530                   0.558                   0.360                   
-psi^min(750 hPa)       0.994                   0.973                   1.                      0.987                   0.964                   0.917                   0.836                   0.746                   0.683                   0.670                   0.888                   0.918                   0.842                   -0.058                  0.577                   0.567                   0.193                   0.462                   0.673                   0.531                   0.616                   0.314                   
-psi^min(700 hPa)       0.994                   0.912                   0.980                   1.                      0.991                   0.958                   0.890                   0.809                   0.748                   0.733                   0.922                   0.961                   0.870                   0.006                   0.545                   0.540                   0.249                   0.500                   0.673                   0.523                   0.621                   0.231                   
-psi^min(650 hPa)       0.969                   0.849                   0.941                   0.989                   1.                      0.987                   0.940                   0.873                   0.818                   0.797                   0.950                   0.989                   0.897                   0.099                   0.499                   0.490                   0.315                   0.538                   0.657                   0.497                   0.608                   0.165                   
-psi^min(600 hPa)       0.941                   0.801                   0.905                   0.967                   0.994                   1.                      0.982                   0.938                   0.892                   0.866                   0.970                   0.998                   0.917                   0.221                   0.425                   0.404                   0.391                   0.574                   0.616                   0.444                   0.589                   0.088                   
-psi^min(550 hPa)       0.909                   0.756                   0.866                   0.940                   0.978                   0.995                   1.                      0.986                   0.956                   0.926                   0.967                   0.976                   0.913                   0.355                   0.329                   0.291                   0.468                   0.604                   0.553                   0.367                   0.554                   0.001                   
-psi^min(500 hPa)       0.872                   0.706                   0.823                   0.906                   0.952                   0.977                   0.993                   1.                      0.990                   0.963                   0.944                   0.929                   0.889                   0.457                   0.253                   0.196                   0.522                   0.619                   0.490                   0.293                   0.508                   -0.070                  
-psi^min(450 hPa)       0.828                   0.652                   0.775                   0.865                   0.917                   0.946                   0.970                   0.991                   1.                      0.987                   0.926                   0.881                   0.867                   0.510                   0.226                   0.152                   0.549                   0.620                   0.450                   0.247                   0.469                   -0.109                  
-psi^min(400 hPa)       0.802                   0.629                   0.751                   0.839                   0.890                   0.917                   0.941                   0.967                   0.990                   1.                      0.929                   0.856                   0.852                   0.479                   0.283                   0.201                   0.543                   0.614                   0.469                   0.261                   0.439                   -0.105                  
-<psi^min>_p            0.956                   0.865                   0.934                   0.966                   0.972                   0.966                   0.957                   0.947                   0.932                   0.927                   1.                      0.965                   0.920                   0.272                   0.475                   0.398                   0.418                   0.587                   0.616                   0.423                   0.548                   0.092                   
-psi(phi^min, p^min)    0.986                   0.899                   0.972                   0.994                   0.986                   0.966                   0.939                   0.903                   0.860                   0.831                   0.954                   1.                      0.910                   0.196                   0.443                   0.425                   0.384                   0.572                   0.628                   0.461                   0.589                   0.085                   
-psi_SHC                0.864                   0.822                   0.870                   0.868                   0.840                   0.806                   0.766                   0.725                   0.688                   0.688                   0.835                   0.868                   1.                      0.336                   0.419                   0.338                   0.520                   0.645                   0.636                   0.544                   0.501                   0.017                   
